row_type,group_id,region,normal_angle_to_reference_deg,plane_d_mm,plane_d_delta_to_reference_mm,pnp_rmse_px,consistent,group_left,group_right,region_left,region_right,pair_normal_angle_deg,pair_plane_d_delta_mm,pair_consistent,group_ids,group_count,max_normal_angle_to_reference_deg,max_abs_plane_d_delta_to_reference_mm,pnp_rmse_median_px,pnp_rmse_max_px,normal_threshold_deg,plane_d_threshold_mm,pnp_rmse_threshold_px
pair,,,,,,,,002,012,Middle,Bottom,0.010072029414823715,-0.009183110250546633,True,,,,,,,,,
pair,,,,,,,,002,013,Middle,Bottom,0.008519348411841706,-0.0032546962396509116,True,,,,,,,,,
pair,,,,,,,,002,014,Middle,Bottom,0.007393530764131514,-0.006680901535105477,True,,,,,,,,,
pair,,,,,,,,002,015,Middle,Bottom,0.006371779191814231,-0.0015598593344066103,True,,,,,,,,,
pair,,,,,,,,003,004,Middle,Middle,0.0008507347803242,-0.0033741477428748112,True,,,,,,,,,
pair,,,,,,,,003,005,Middle,Middle,0.004204321959767808,-0.004654635510291882,True,,,,,,,,,
pair,,,,,,,,003,006,Middle,Top,0.016681703523547135,-0.01023863037164574,True,,,,,,,,,
pair,,,,,,,,003,007,Middle,Top,0.014448373641106321,-0.00515354312119598,True,,,,,,,,,
pair,,,,,,,,003,008,Middle,Top,0.015826863185887642,-0.007942301267917173,True,,,,,,,,,
pair,,,,,,,,003,009,Middle,Top,0.018581109534980312,-0.01221726786218369,True,,,,,,,,,
pair,,,,,,,,003,010,Middle,Top,0.014926323231516403,-0.011820121906112036,True,,,,,,,,,
pair,,,,,,,,003,011,Middle,Bottom,0.0038626877727690593,0.0015972791206877446,True,,,,,,,,,
pair,,,,,,,,003,012,Middle,Bottom,0.005725066515266494,-0.010527128022204124,True,,,,,,,,,
pair,,,,,,,,003,013,Middle,Bottom,0.005981717792029125,-0.004598714011308402,True,,,,,,,,,
pair,,,,,,,,003,014,Middle,Bottom,0.002870748344456765,-0.008024919306762968,True,,,,,,,,,
pair,,,,,,,,003,015,Middle,Bottom,0.0019119166159101855,-0.002903877106064101,True,,,,,,,,,
pair,,,,,,,,004,005,Middle,Middle,0.004166825728126387,-0.0012804877674170712,True,,,,,,,,,
pair,,,,,,,,004,006,Middle,Top,0.01588183596238393,-0.006864482628770929,True,,,,,,,,,
pair,,,,,,,,004,007,Middle,Top,0.013814322070211488,-0.0017793953783211691,True,,,,,,,,,
pair,,,,,,,,004,008,Middle,Top,0.015064361622006053,-0.004568153525042362,True,,,,,,,,,
