scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
181,2132.2836602926254,0.01149663068810061,0.33249683837397015,0.0036152097708290654,1.0,1.0,False
182,2132.1597587019205,0.011022332298420139,0.3658602927141601,0.0034657218559315723,1.0,1.0,False
183,2132.102548368275,0.010450680863386902,0.3782533264882204,0.003285846997203112,1.0,1.0,False
184,2132.108035609126,0.00979121379368914,0.3709341433105351,0.003078550350855569,1.0,1.0,False
185,2132.114222496748,0.009251043155571674,0.3633959602762502,0.002908758318327934,1.0,1.0,False
186,2132.09660012275,0.008738864902313997,0.36334500518830737,0.0027477003748101417,1.0,1.0,False
187,2132.022023689002,0.008031531644615028,0.381202226646451,0.0025251565544737657,1.0,1.0,False
188,2131.9530629590154,0.008161584390479336,0.3972939331595171,0.00256591468277321,1.0,1.0,False
189,2131.9314576797187,0.008477717270472274,0.39849821558738086,0.0026652809074266238,1.0,1.0,False
190,2131.969786155969,0.007990855953255984,0.3808608235858628,0.002512330693389976,1.0,1.0,False
191,2132.0789750404656,0.007927118245517043,0.3409434675598959,0.002492565487695469,1.0,1.0,False
192,2132.154340341687,0.009401712667010164,0.311659342327232,0.002956463287025544,1.0,1.0,False
193,2132.1230403333902,0.011008880807901564,0.31591714905863455,0.0034617960318423183,1.0,1.0,False
194,2132.0822202935815,0.0121815942126867,0.3231694951437021,0.0038304634375568194,1.0,1.0,False
195,2132.0353438090533,0.011842058418621385,0.33232707461672817,0.0037235794942934207,1.0,1.0,False
196,2131.9752124194056,0.01052087143674726,0.3456530874590271,0.0033080093080816164,1.0,1.0,False
197,2131.9027164280415,0.009225332262148625,0.3628670838558037,0.0029005056015254825,1.0,1.0,False
198,2131.8803875781596,0.008780350284946255,0.364308740075046,0.0027605770085795288,1.0,1.0,False
199,2131.941833315417,0.009135181400197827,0.3394116018423574,0.002872334890379142,1.0,1.0,False
200,2131.9998919382842,0.009238348616239345,0.3155790634058917,0.002904959650043742,1.0,1.0,False
201,2132.0408723894507,0.008975066805859116,0.2971166455640173,0.0028223091692788234,1.0,1.0,False
202,2132.074335884303,0.008169223984611456,0.28101838954688674,0.0025690054249109524,1.0,1.0,False
203,2132.095245037228,0.007273709810369209,0.26886876180333275,0.0022874557904365637,1.0,1.0,False
204,2132.0244559561834,0.005960798890344396,0.2855570775328715,0.001874470715876096,1.0,1.0,False
205,2131.850922562182,0.0055793091980779275,0.3345519595512201,0.0017542514048493006,1.0,1.0,False
206,2131.6364145427942,0.0063147296652808806,0.39642180711808805,0.0019851221088503564,1.0,1.0,False
207,2131.559311360121,0.02561750509186321,0.4150912821456245,0.008052586227671712,1.0,1.0,False
208,2131.677692040801,0.007576727217094653,0.3723093128077153,0.002381993937378867,1.0,1.0,False
209,2131.8225513249636,0.007739670895934461,0.3211981064262659,0.0024335632444672105,1.0,1.0,False
210,2131.888715494424,0.00856114991042609,0.2948274879806263,0.0026920504110253644,1.0,1.0,False
211,2131.8818333745003,0.00897175990648579,0.2914264216855713,0.002821181321338812,1.0,1.0,False
212,2131.8245856165886,0.009026724597233363,0.30386366819709565,0.0028383499016490705,1.0,1.0,False
213,2131.763624727726,0.009124999198727632,0.31746893771043005,0.002869126646190131,1.0,1.0,False
214,2131.7020331174135,0.00921952483725562,0.33127293705467764,0.0028987197054719774,1.0,1.0,False
215,2131.6106522083282,0.0092994238616529,0.35444288336276486,0.002923635307198118,1.0,1.0,False
216,2131.5153982788324,0.008641160858510397,0.37882970922998993,0.0027164805142864284,1.0,1.0,False
217,2131.5537098050117,0.006832633993115307,0.3612279523221673,0.002148037542490164,1.0,1.0,False
