frame_a,frame_b,normal_angle_diff_deg,translation_difference_mm,tvec_difference_mm,depth_difference_mm,camera_board_distance_difference_mm,v_overlap_100px_jaccard,v_overlap_10px_jaccard,v_interval_overlap_px,v_interval_union_px,v_interval_iou,lambda_interval_overlap_mm,lambda_interval_iou,lambda_span_difference_mm,geometric_distance,geometric_similarity,near_duplicate_strict,near_duplicate_candidate,similarity_rank
006,029,1.043963248351321,40.39435656629749,170.14912862771894,33.403748968324976,32.8794976794635,0.7407407407407407,0.7196969696969697,1887.0095400267464,2625.998608534685,0.7185874104783716,0.0,0.0,4.940751993356116,1.1747966790819322,0.3088817754301144,False,False,60
007,014,0.0731414305137638,132.43757162845154,134.88190950635644,2.8850338170846044,2.7719788170012407,0.95,0.9378238341968912,1799.9611423198526,1928.9851201179547,0.9331130258847137,0.0,0.0,0.12172234355659839,1.188586031365351,0.3046517276513721,False,False,61
009,029,4.09846576004115,48.19903397021294,166.8696170665591,34.36874130455794,36.327540558386204,0.7407407407407407,0.7045454545454546,1871.9491955290614,2625.998608534685,0.712852318141027,0.0,0.0,1.6587438146175373,1.2024889367894067,0.30044549070381293,False,False,62
007,009,3.0369312994611994,112.8803173419929,167.94233642729853,3.0416290407122233,5.073060644343286,0.95,0.953125,1842.987367652644,1903.98141431703,0.967964998919769,1.4820499158295206,0.18161704658908187,6.678251904201375,1.2083694994254637,0.2986838868643686,False,False,63
010,050,3.364384489830869,106.64102446925497,279.54605213543584,6.279111984973952,6.305288608488809,0.41379310344827586,0.4014336917562724,1107.9484230495943,2788.008385876918,0.3973978086515364,0.0,0.0,4.382917118336195,1.2099480460726637,0.29821277235213034,False,False,64
014,018,2.1724474940322227,119.74449424568208,285.3325614024161,0.71177327527937,3.114415267025038,0.7692307692307693,0.7261904761904762,1830.9394697945966,2515.9808396703875,0.727723932124405,0.0,0.0,5.507936938398075,1.2126865101390532,0.2973972445473494,False,False,65
008,030,11.54818625659387,32.9853959623187,88.82518893888601,19.081453928063638,19.25815862040315,0.8888888888888888,0.8796680497925311,2288.9851956582315,2599.647217101315,0.8804983924743908,0.0,0.0,1.5474961096759898,1.227439762384968,0.2930418749130198,False,False,66
007,010,9.892225112494092,38.03042255681622,233.60093765930392,26.511609396226163,28.983617656501565,0.9047619047619048,0.900497512437811,1800.008500847309,1997.0076487777906,0.901352832548714,0.0,0.0,0.5015473133753403,1.2379789544522437,0.28996966803568425,False,False,67
010,029,9.96005463278666,73.56379087484667,240.35956719140555,10.898760949044004,12.416983546227925,0.7777777777777778,0.7310606060606061,1921.996563184487,2625.998608534685,0.731910731764236,0.0,0.0,4.517960776208497,1.2389264797302788,0.28969504457224027,False,False,68
007,008,2.2961195604906943,112.01140219355857,191.70875809547329,1.7292327719225113,5.5964890815148465,0.6923076923076923,0.6785714285714286,1701.984046455079,2507.6778037557174,0.6787092201023748,1.1378022694428864,0.12097882294989992,7.578673007832094,1.2584870185550923,0.2840835146004726,False,False,69
