s,delta_lambda_mm
-0.059165265553055263,-0.03696917678843873
-0.058965565190768288,-0.036820313733812553
-0.058765864828481312,-0.036671048604102578
-0.058566164466194337,-0.036521387909212846
-0.058366464103907362,-0.03637133815904732
-0.058166763741620386,-0.036220905863509976
-0.057967063379333411,-0.036070097532504848
-0.057767363017046436,-0.035918919675935905
-0.057567662654759461,-0.035767378803707173
-0.057367962292472485,-0.0356154814257226
-0.05716826193018551,-0.035463234051886221
-0.056968561567898535,-0.035310643192102004
-0.056768861205611559,-0.035157715356273961
-0.056569160843324584,-0.035004457054306069
-0.056369460481037609,-0.034850874796102362
-0.056169760118750633,-0.03469697509156678
-0.055970059756463658,-0.034542764450603364
-0.055770359394176683,-0.034388249383116076
-0.055570659031889708,-0.034233436399008929
-0.055370958669602732,-0.03407833200818592
-0.055171258307315757,-0.033922942720551033
-0.054971557945028809,-0.033767275046008266
-0.054771857582741834,-0.033611335494461624
-0.054572157220454859,-0.033455130575815076
-0.054372456858167884,-0.033298666799972634
-0.054172756495880908,-0.033141950676838297
-0.053973056133593933,-0.032984988716316055
-0.053773355771306958,-0.032827787428309892
-0.053573655409019982,-0.032670353322723826
-0.053373955046733007,-0.032512692909461821
-0.053174254684446032,-0.032354812698427896
-0.052974554322159056,-0.032196719199526047
-0.052774853959872081,-0.032038418922660246
-0.052575153597585106,-0.031879918377734517
-0.052375453235298131,-0.031721224074652832
-0.052175752873011155,-0.031562342523319201
-0.05197605251072418,-0.031403280233637608
-0.051776352148437205,-0.031244043715512041
-0.051576651786150229,-0.031084639478846508
-0.051376951423863254,-0.030925074033545004
-0.051177251061576279,-0.030765353889511522
-0.050977550699289303,-0.030605485556650054
