scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
leave027_out,k_frame_mm_per_s,v_span_px,coverage,29,0.4394923657166031,0.01705788773403751,0.2985221674876847,0.11572166984262863,6.929354687506703e-05,3.626447091539101e-05
leave027_out,k_frame_mm_per_s,lambda_span_mm,coverage,29,0.027075016818308883,0.8891220544906886,0.10738916256157634,0.5792519109953266,5.91237835009527e-05,0.0003923092268084011
leave027_out,k_frame_mm_per_s,chess_to_laser_s,acquisition_timing,29,0.2505815724865191,0.1898241444368592,0.338423645320197,0.07254046362482794,0.0009374219243866765,0.0012180198800289563
leave027_out,k_frame_mm_per_s,nolaser_to_laser_s,acquisition_timing,29,0.2560783149671029,0.17996946904263664,0.3098522167487684,0.101891616860788,0.0010005818332271242,0.0010778657938103906
leave027_out,k_frame_mm_per_s,chess_focus_laplacian,image_quality,29,0.1791294131512057,0.35249529512973493,-0.038916256157635463,0.8411461270131033,0.0006112851026707472,-0.00024217385074453486
leave027_out,k_frame_mm_per_s,chess_mean_dn,image_quality,29,0.10657508355286274,0.5821477702763652,-0.06600985221674875,0.7336991671911346,0.00046870097998531014,-0.00027079621369482053
leave027_out,k_frame_mm_per_s,laser_mean_dn,image_quality,29,0.11073685873061133,0.5674110282799324,0.050738916256157625,0.7937943350445308,0.3919335111946665,0.21236695555505564
leave027_out,k_frame_mm_per_s,laser_p99_dn,image_quality,29,nan,nan,nan,nan,nan,nan
leave027_out,k_frame_mm_per_s,laser_dynamic_range_u8,image_quality,29,-0.1514810484578073,0.43279936763996574,-0.1470056225182206,0.44667166859061913,-0.004095751511187931,-0.0023205836951954682
leave027_out,k_frame_mm_per_s,laser_coverage,image_quality,29,-0.024708071037995744,0.8987636070355708,-0.10471849920599999,0.5887757874491495,-0.015073680262624626,-0.0589428368403363
leave027_out,k_frame_mm_per_s,quality_warning_count,image_quality,29,0.059762311900858144,0.7581212909795871,-0.026904206596043333,0.8898173342015325,0.007563823139368146,-0.0004899246213552824
leave027_out,k_frame_mm_per_s,acquisition_order,acquisition_order,29,0.3729935095010978,0.046277294827556645,0.30246305418719205,0.11076194119606975,0.0021716036080188625,0.001393807899986273
leave027_out,rmse_mm,board_center_z_mm,pose_depth,29,-0.11580577058120803,0.5496934112300669,-0.09704433497536943,0.6165141670277832,-0.00010277925228650674,-8.658917420198169e-05
leave027_out,rmse_mm,board_tilt_deg,pose_orientation,29,-0.04523264268842194,0.815769477444726,0.0354679802955665,0.8550675606680007,-0.00010686078107041374,5.826887566847071e-05
leave027_out,rmse_mm,board_roll_deg,pose_orientation,29,-0.19398106767689938,0.313315772050796,-0.2985221674876847,0.11572166984262863,-0.0003380848849510232,-0.00043797283159563335
leave027_out,rmse_mm,board_pitch_deg,pose_orientation,29,-0.21573937237185736,0.2610183670616092,-0.2866995073891625,0.1315879096254121,-0.0004976305757669226,-0.000678259000518413
leave027_out,rmse_mm,board_nx,pose_orientation,29,-0.21488301966755824,0.26296178527078734,-0.2866995073891625,0.1315879096254121,-0.0288745995896632,-0.03973167822455769
leave027_out,rmse_mm,board_ny,pose_orientation,29,0.19693555653768738,0.3058577962035633,0.2985221674876847,0.11572166984262863,0.020065199222355452,0.02550376317032438
leave027_out,rmse_mm,board_nz,pose_orientation,29,-0.011861832820196318,0.9513033760628472,0.0354679802955665,0.8550675606680007,-0.007797391146405304,0.016086767175811208
leave027_out,rmse_mm,pnp_rmse_px,pnp,29,0.02237173313780157,0.9082943294055913,0.03399014778325122,0.8610471911148926,0.014705134162001879,0.00870514508911227
leave027_out,rmse_mm,u_center_px,coverage,29,-0.15686181302916957,0.41643692718905856,-0.09261083743842362,0.6327810374506277,-3.801206012417099e-05,-1.804686234182401e-05
leave027_out,rmse_mm,u_span_px,coverage,29,0.019951111450295538,0.918182008715061,-0.009359605911330046,0.9615673193952551,4.405408615711364e-06,1.1646767406894621e-06
leave027_out,rmse_mm,v_center_px,coverage,29,-0.46237853466097906,0.011555964654010393,-0.4798029556650245,0.008440676350015679,-2.878504480399415e-05,-2.6777200756511334e-05
leave027_out,rmse_mm,v_span_px,coverage,29,-0.2163067946966981,0.25973582464669054,-0.3162561576354679,0.09464485683549011,-1.1615406930499669e-05,-1.683851123347601e-05
leave027_out,rmse_mm,lambda_span_mm,coverage,29,0.07112210598706412,0.7139011622923167,0.07487684729064037,0.6994743748605193,5.289576495949874e-05,2.396423628303247e-05
leave027_out,rmse_mm,chess_to_laser_s,acquisition_timing,29,-0.42455802742954035,0.02170105723301597,-0.37192118226600973,0.04695838860725886,-0.0005409359489697569,-0.00046177913698156135
leave027_out,rmse_mm,nolaser_to_laser_s,acquisition_timing,29,-0.4173175417868594,0.024299641850315624,-0.3911330049261083,0.035898748085356445,-0.0005553531783547399,-0.0005165087639611976
leave027_out,rmse_mm,chess_focus_laplacian,image_quality,29,-0.33675828399314717,0.07404787761366363,-0.41921182266009843,0.023596427687196612,-0.0003913974644155573,-0.0005165982852926804
leave027_out,rmse_mm,chess_mean_dn,image_quality,29,-0.2480998147559348,0.19439407445216958,-0.37290640394088664,0.046332326014350396,-0.00037161174439224976,-0.0006659444288507628
leave027_out,rmse_mm,laser_mean_dn,image_quality,29,0.06348189212929284,0.7435520698262522,0.12709359605911327,0.5111895798249493,0.07652315588714206,0.11393850051210042
leave027_out,rmse_mm,laser_p99_dn,image_quality,29,nan,nan,nan,nan,nan,nan
leave027_out,rmse_mm,laser_dynamic_range_u8,image_quality,29,0.38948610010540186,0.036755856718962185,0.4539952926326711,0.013367316630369915,0.003586658867538601,0.0037549574079105323
