scope,u_start_px,u_end_px,v_start_px,v_end_px,lambda_start_mm,lambda_end_mm,point_count,unique_frame_count,frame_ids,frame_median_residual_mean_mm,frame_median_residual_std_mm,frame_median_residual_range_mm,between_frame_variance_mm2,within_frame_variance_mm2,between_fraction,contains_frame027,frame_median_residuals
all30,2112,2144,1200,1230,710.0,715.0,47,3,013;014;036,0.0705559815251983,0.04371772524270849,0.08258811308650138,0.0010444431569921605,0.0007055522755428516,0.596826218842868,False,013:0.0871306769;014:0.10356269;036:0.0209745773
all30,2112,2144,1230,1260,710.0,715.0,39,3,013;014;036,0.06884871942431421,0.040330228942338425,0.07773505175174478,0.0009128975657500515,0.0010902360597570637,0.4557347318848694,False,013:0.101502207;014:0.0812767951;036:0.0237671557
all30,2112,2144,1260,1290,710.0,715.0,46,3,013;014;036,0.07066208386989577,0.0381869252904973,0.07607934866734922,0.0009476220835221446,0.0012269853118884854,0.43576697362569466,False,013:0.106767468;014:0.074530665;036:0.030688119
all30,2112,2144,1290,1320,710.0,715.0,48,3,013;014;036,0.06851434061953417,0.034686632341856025,0.06197075664226759,0.0007438266406111835,0.0009248191616190258,0.4457666447948574,False,013:0.0904984451;014:0.0865168883;036:0.0285276884
all30,2112,2144,1320,1350,710.0,715.0,47,3,013;014;036,0.07511048831906919,0.03773194768897605,0.070519291951598,0.0008658542030766796,0.0006400925423703062,0.574956721208413,False,013:0.0906220858;014:0.102614336;036:0.0320950436
all30,2112,2144,1350,1380,710.0,715.0,40,3,013;014;036,0.06300621010270409,0.04948127786119682,0.09082105256794648,0.0015328526167286132,0.001362868077147759,0.5293509902284987,False,013:0.0857007311;014:0.0970694759;036:0.00624842334
all30,2112,2144,1380,1410,710.0,715.0,44,3,013;014;036,0.0328506693433989,0.041871150949640216,0.08366388324793661,0.0014666139837672288,0.0011929166259592276,0.5514559518147739,False,013:0.0736366757;014:0.0349425399;036:-0.0100272076
all30,2112,2144,1410,1440,710.0,715.0,50,3,013;014;036,0.01865976201126311,0.036025265786109734,0.06602275118382295,0.0006563356255577754,0.0004160161997090767,0.6120525093473383,False,013:0.0353158462;014:0.0433430955;036:-0.0226796557
all30,2112,2144,1440,1470,710.0,715.0,57,3,013;014;036,0.029140608800029593,0.035406225475757475,0.06511738931317268,0.0007169494949060522,0.000740268973899584,0.49199863318619447,False,013:0.0452043238;014:0.053667446;036:-0.0114499434
all30,2112,2144,1470,1500,710.0,715.0,43,3,013;014;036,0.041843800074047977,0.015602539831349052,0.031048675996430575,0.00026452804157419936,0.0011271632576427273,0.19007666550983204,False,013:0.0582689116;014:0.040042253;036:0.0272202356
all30,2112,2144,1500,1530,710.0,715.0,50,3,013;014;036,0.032610849743586336,0.01729834409500628,0.03407022465188447,0.00044340677806582756,0.0005381252153776795,0.4517496943835975,False,013:0.0479102915;014:0.0360821908;036:0.0138400669
all30,2112,2144,1530,1560,710.0,715.0,52,3,013;014;036,-0.012946662702707576,0.015526172824408675,0.029558977644740025,0.0001901942865708559,0.0005768990902281355,0.24794150532822848,False,013:0.00457926337;014:-0.0184395372;036:-0.0249797143
all30,2112,2144,1560,1590,710.0,715.0,52,3,013;014;036,-0.029626106273080193,0.017898858533041344,0.035563206581571194,0.00036650414414603265,0.0005908387631106852,0.38283476209820827,False,013:-0.0106635823;014:-0.0462267889;036:-0.0319879477
all30,2112,2144,1590,1620,710.0,715.0,29,3,013;014;036,-0.06260578848341918,0.03554191665097142,0.06702240414921334,0.0009978512980317366,0.0005411276929186519,0.6483852631513304,False,013:-0.0359314272;014:-0.048932107;036:-0.102953831
leave027_out,1856,1888,690,720,640.0,645.0,29,2,003;028,-0.08390174519192328,0.07784867410643506,0.11009465073408364,0.00422248314561064,0.0005824739965793313,0.8787764428812668,False,003:-0.0288544198;028:-0.138949071
leave027_out,1856,1888,720,750,640.0,645.0,31,2,003;028,-0.08330243755852962,0.06083287199854511,0.08603067261844899,0.002398883161820199,0.0017854001192293203,0.5733080197233924,False,003:-0.0402871012;028:-0.126317774
leave027_out,1856,1888,750,780,640.0,645.0,30,2,003;028,-0.12178809108348787,0.11813674938313908,0.16707059319230666,0.0051220381906574375,0.001331506567689011,0.7936782624824974,False,003:-0.0382527945;028:-0.205323388
leave027_out,1856,1888,780,810,640.0,645.0,30,2,003;028,-0.069685920749464,0.022147537853856404,0.03132134840609524,0.0006830799760039654,0.0020173719298262095,0.25295024678248157,False,003:-0.0540252465;028:-0.085346595
leave027_out,1856,1888,810,840,640.0,645.0,43,3,003;025;028,-0.09693168824086722,0.07747342455168878,0.15459395525999753,0.003704991342086348,0.0021271880183559174,0.6352670439486263,False,003:-0.0226518152;025:-0.090897479;028:-0.177245771
leave027_out,1856,1888,840,870,640.0,645.0,47,3,003;025;028,-0.0831834519072648,0.10008533200640102,0.1998159157640771,0.005817033692644841,0.0021278748657334117,0.7321712578441857,False,003:0.0132858224;025:-0.0763060847;028:-0.186530093
leave027_out,1856,1888,870,900,640.0,645.0,30,2,025;028,-0.08857518674454923,0.05232974509683433,0.07400543523147007,0.0014718782083037723,0.0006982130523560325,0.6782563641384628,False,025:-0.0515724691;028:-0.125577904
leave027_out,1856,1888,900,930,640.0,645.0,26,2,025;028,-0.06273393279010975,0.023791377371555913,0.03364608854639073,0.0011461008873459495,0.003569083590442823,0.24306596968681562,False,025:-0.0459108885;028:-0.0795569771
leave027_out,1856,1888,930,960,640.0,645.0,18,2,025;028,-0.037981655297528505,0.10739176578056822,0.15187489165407442,0.005093904267535244,0.002168685806533165,0.7013894789027663,False,025:0.0379557905;028:-0.113919101
leave027_out,1856,1888,960,990,640.0,645.0,17,2,025;028,-0.10664004046824971,0.024069403007095744,0.03403927617085856,0.00022032092390094268,0.0006125810842726322,0.2645220226855646,False,025:-0.0896204024;028:-0.123659679
leave027_out,1856,1888,1140,1170,640.0,645.0,17,2,026;028,-0.057213120885819535,0.03201087109952804,0.04527020805232951,0.00047906985998895715,0.000491800241778885,0.49344382849634194,False,026:-0.0345780169;028:-0.0798482249
leave027_out,1856,1888,1170,1200,640.0,645.0,12,2,026;028,0.039492955673438246,0.07461529488997641,0.10552196199387254,0.0036785712539831946,0.004729685945851682,0.437495091617254,False,026:0.0922539367;028:-0.0132680253
leave027_out,1856,1888,1200,1230,640.0,645.0,14,2,026;028,-0.03669002544666,0.015320929995408062,0.021667066987674843,0.0004350915234741353,0.0033463503772404634,0.11505968752076128,False,026:-0.025856492;028:-0.0475235589
leave027_out,1856,1888,1230,1260,640.0,645.0,27,2,026;028,-0.0028383926510286983,0.02100960765889194,0.029712072091342634,7.48345568959279e-06,0.0025743204204641233,0.0028985376304963137,False,026:0.0120176434;028:-0.0176944287
leave027_out,1856,1888,1260,1290,640.0,645.0,27,2,026;028,0.016422365632223546,0.01115304653022511,0.01577278966482254,0.0002981928551265596,0.0033490713292112927,0.0817579533742208,False,026:0.0243087605;028:0.0085359708
leave027_out,1856,1888,1290,1320,640.0,645.0,16,2,026;028,-0.038015070110645865,0.032827949679986826,0.046425731662338876,0.00037906686219535727,0.003035330119601049,0.11102014915556772,False,026:-0.0148022043;028:-0.0612279359
leave027_out,1856,1888,2160,2190,645.0,650.0,10,2,001;005,0.03128398675960398,0.019304360275560078,0.02730048811463348,0.0002181660192741906,0.0023161246324100333,0.08608563470381865,False,001:0.0449342308;005:0.0176337427
leave027_out,1856,1888,2190,2220,645.0,650.0,10,2,001;005,-0.045789583730766026,0.0669804228683368,0.09472462243388691,0.0032892067150467256,0.0028076918805715464,0.5394885060759609,False,001:-0.0931518949;005:0.00157272749
leave027_out,1856,1888,2220,2250,645.0,650.0,14,3,001;005;016,0.028582140845837028,0.023676865805301314,0.046267814205236846,2.5995963619759915e-05,0.0014066348344540065,0.01814561271104363,False,001:0.0344035171;005:0.0488053598;016:0.00253754559
leave027_out,1856,1888,2250,2280,645.0,650.0,18,3,001;005;016,0.040222240205821436,0.06771905658336434,0.12081143342845735,0.0025802476181233653,0.0031937949607472103,0.44687020971502284,False,001:-0.0378566201;005:0.0829548133;016:0.0755685274
leave027_out,1856,1888,2280,2310,640.0,645.0,33,2,001;028,-0.03528422359389083,0.016506742752014716,0.023344059470502998,0.000722919661196261,0.005033322166365119,0.12558882737255053,False,001:-0.0469562533;028:-0.0236121939
leave027_out,1856,1888,2280,2310,645.0,650.0,23,2,005;016,0.04378865235247531,0.008879866788603315,0.012558028044509228,5.846314637978588e-06,0.0020214248635930946,0.002883834536176793,False,005:0.0500676664;016:0.0375096383
leave027_out,1856,1888,2310,2340,640.0,645.0,45,2,001;028,-0.06201170496348141,0.016660404789346543,0.02356137040771955,5.527947460703008e-05,0.0015762199669164308,0.03388261938686981,False,001:-0.0502310198;028:-0.0737923902
leave027_out,1856,1888,2310,2340,645.0,650.0,24,2,005;016,0.013616812523366661,0.023447667428897548,0.03316000928396079,0.0011006470869033287,0.0014931525040165184,0.4243377517508987,False,005:0.0301968172;016:-0.00296319212
