record_type,apex_projection_t,alpha_displacement_t,status,optimizer_cost,relative_cost_to_t0,valid_grid_count,invalid_grid_count,apex_direction_x,apex_direction_y,apex_direction_z,alpha_delta_rad,apex_delta_mm,top_formal_edge_delta_lambda_p95_mm,top_formal_edge_delta_lambda_max_mm,middle_formal_delta_lambda_p95_mm,middle_formal_delta_lambda_max_mm,bottom_formal_edge_delta_lambda_p95_mm,bottom_formal_edge_delta_lambda_max_mm
apex_alpha_profile,-1.3333333333333335,4.0,2,2.365926147702929,1.7070844629949664,3113,1028,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,13.333333333333337,0.2506870987985394,0.25928570017890706,0.18711824184683212,0.2689807718887778,0.2860226686853025,0.2973371358375516
apex_alpha_profile,0.0,-4.0,2,2.4003693662506738,1.7319362460041197,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,0.0,0.3003939843657008,0.31950577756072107,0.2081498206408355,0.3950704990106715,0.39540685965425837,0.41291055262740883
apex_alpha_profile,0.0,-2.666666666666667,2,1.8237000522054037,1.3158525794668445,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,0.0,0.18309398048008915,0.1885906905287129,0.133092889429713,0.18576795112676336,0.19556740877146694,0.20275780934446175
apex_alpha_profile,0.0,-1.3333333333333335,2,1.4874452441945265,1.0732349648299575,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,0.0,0.09152146005815211,0.09447699939198628,0.06641140139734603,0.09176913268117914,0.09664816134682042,0.10031084491322417
apex_alpha_profile,0.0,0.0,3,1.3859455414855688,0.9999999800180708,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,0.0,4.2236420085828273e-07,4.798843065145775e-07,3.7257728990880423e-07,5.681982884198078e-07,5.433590786196874e-07,5.77039259042067e-07
apex_alpha_profile,0.0,1.333333333333333,2,1.51816578500698,1.0954007276821323,3118,1023,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,0.0,0.08956975518240141,0.09240043711065482,0.0659184620064252,0.09208559426053853,0.09812149856171004,0.10195087333727315
apex_alpha_profile,0.0,2.666666666666666,2,1.8833197189130235,1.3588699013829701,3116,1025,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,0.0,0.17734224754260594,0.18301645425742663,0.13195318714715543,0.18680234111843674,0.19889164819375652,0.20662933488006274
apex_alpha_profile,0.0,4.0,2,2.4815424221164255,1.7905049644811455,3113,1028,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,0.0,0.26406547568185484,0.27277312095372963,0.1985298686636497,0.28430044181686753,0.3024942144274405,0.31416205206608083
apex_alpha_profile,1.333333333333333,-4.0,2,2.18059994947037,1.5733662258911214,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,13.33333333333333,0.23387984535659143,0.23749282307608155,0.1783630826872012,0.28654148622160847,0.29362777281596664,0.30798150082614484
apex_alpha_profile,1.333333333333333,-2.666666666666667,2,1.6971718230342008,1.2245587855510305,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,13.33333333333333,0.15703878107601665,0.1624467600221351,0.11278084670020688,0.15912375259472356,0.16757787680478486,0.17366763063580493
