model,direction,parameter,unit,step,v_px,region,valid_count,invalid_count,median_dlambda_dtheta,p05_dlambda_dtheta,p95_dlambda_dtheta,rmse_dlambda_dtheta
M0,single_parameter,alpha,rad,1e-05,988.9917478215993,middle_formal,31,10,1169.3851505754083,995.8944236188926,1377.9548228313843,1183.8487551274113
M0,single_parameter,alpha,rad,1e-05,1013.891549632431,middle_formal,31,10,1168.8002701475853,995.2972441084283,1377.3861859846193,1183.269092536564
M0,single_parameter,alpha,rad,1e-05,1038.7913514432626,middle_formal,31,10,1168.2579098987844,994.7403582884816,1376.862825156877,1182.7320022760946
M0,single_parameter,alpha,rad,1e-05,1063.6911532540942,middle_formal,31,10,1167.758184971035,994.223882321421,1376.3848572409643,1182.2375988067536
M0,single_parameter,alpha,rad,1e-05,1088.5909550649258,middle_formal,31,10,1167.301205447302,993.7479276857174,1375.9523940080953,1181.7859920176609
M0,single_parameter,alpha,rad,1e-05,1113.4907568757574,middle_formal,31,10,1166.887077414458,993.3126016534287,1375.5655433072889,1181.3772874577228
M0,single_parameter,alpha,rad,1e-05,1138.390558686589,middle_formal,31,10,1166.515902309584,992.9180064744968,1375.2244081445042,1181.0115859915502
M0,single_parameter,alpha,rad,1e-05,1163.2903604974206,middle_formal,31,10,1166.1877766300677,992.5642397490718,1374.9290870208597,1180.688983894517
M0,single_parameter,alpha,rad,1e-05,1188.1901623082522,middle_formal,31,10,1165.9027924110887,992.2513938278142,1374.679673753576,1180.409572843632
M0,single_parameter,alpha,rad,1e-05,1213.0899641190838,middle_formal,31,10,1165.6610367879239,991.9795566702304,1374.4762576777703,1180.1734398454728
M0,single_parameter,alpha,rad,1e-05,1237.9897659299154,middle_formal,31,10,1165.4625928940732,991.7488112819227,1374.318923532769,1179.9806673167236
M0,single_parameter,alpha,rad,1e-05,1262.889567740747,middle_formal,31,10,1165.307537917215,991.5592353706869,1374.2077512034712,1179.831332793133
M0,single_parameter,alpha,rad,1e-05,1287.7893695515786,middle_formal,31,10,1165.1959458617966,991.4109021877947,1374.1428162205693,1179.7255092966886
M0,single_parameter,alpha,rad,1e-05,1312.6891713624102,middle_formal,31,10,1165.1278842464308,991.3038794366001,1374.1241888595823,1179.6632648689153
M0,single_parameter,alpha,rad,1e-05,1337.5889731732418,middle_formal,31,10,1165.1034171393349,991.2382304406718,1374.151935209511,1179.6446630100334
M0,single_parameter,alpha,rad,1e-05,1362.4887749840734,middle_formal,31,10,1165.1226030437556,991.2140127340762,1374.2261166072467,1179.669762247616
M0,single_parameter,alpha,rad,1e-05,1387.388576794905,middle_formal,31,10,1165.1854958358854,991.2312793233012,1374.3467892993522,1179.7386164393643
M0,single_parameter,alpha,rad,1e-05,1412.2883786057366,middle_formal,31,10,1165.2921446682285,991.2900781273491,1374.514005186711,1179.8512745460212
M0,single_parameter,alpha,rad,1e-05,1437.1881804165682,middle_formal,31,10,1165.4425933954826,991.3904519237348,1374.7278110884054,1180.007780725868
M0,single_parameter,alpha,rad,1e-05,1462.0879822273998,middle_formal,31,10,1165.6368818535157,991.5324380557421,1374.9882490003529,1180.2081743047324
M0,single_parameter,alpha,rad,1e-05,1486.9877840382314,middle_formal,30,11,1158.870226322506,991.1267352131857,1359.2235141359765,1172.3830038913409
M0,single_parameter,alpha,rad,1e-05,1511.887585849063,middle_formal,30,11,1159.1499594601373,991.3518507352136,1359.5716860697848,1172.6684734699663
M0,single_parameter,alpha,rad,1e-05,1536.7873876598946,middle_formal,30,11,1159.473528792887,991.6186534644565,1359.9663700580322,1172.9978223808812
M0,single_parameter,alpha,rad,1e-05,1561.6871894707263,middle_formal,30,11,1159.8409535679366,991.9271604815093,1360.4075887008094,1173.3710704093148
M0,single_parameter,alpha,rad,1e-05,1586.586991281558,middle_formal,30,11,1160.252248797633,992.2773833667974,1360.8953599103302,1173.7882323913593
M0,single_parameter,alpha,rad,1e-05,1611.4867930923897,middle_formal,31,10,1153.6900252394844,981.5288945759447,1360.5885907765014,1168.0631764348532
M0,single_parameter,alpha,rad,1e-05,1636.3865949032213,middle_formal,31,10,1154.1862927174407,981.9583392811636,1361.1691508685908,1168.5657498837684
M0,single_parameter,alpha,rad,1e-05,1661.286396714053,middle_formal,31,10,1154.7263526495044,982.4293656379267,1361.7962771604653,1169.1121622463995
