column_u_px,bias_mm
245,8.001635800999999
246,7.9911458574999994
247,7.9776368150000003
248,7.9614128374999993
249,7.9438693335000004
250,7.9262871619999995
251,7.9101477234999997
252,7.8957294344999998
253,7.8844730475000002
254,7.8762208435000005
255,7.8700595660000001
256,7.8645223815000005
257,7.8583631650000001
258,7.8502599085
259,7.8400898634999994
260,7.8282179640000003
261,7.8179500549999998
262,7.8078463920000001
263,7.799135616
264,7.7903202140000003
265,7.7796793214999997
266,7.7665982880000008
267,7.7531182209999994
268,7.7411750289999999
269,7.7326955645000002
270,7.7277317405000003
271,7.7246853904999995
272,7.7217320019999995
273,7.7160191974999996
274,7.7063548110000006
275,7.6930022195000003
276,7.6774379115000002
277,7.6680508300000003
278,7.6536384665000003
279,7.6429594679999999
280,7.6358320800000001
281,7.6305537054999997
282,7.6250781889999999
283,7.6180544359999995
284,7.608682097
285,7.5972886605000003
286,7.5853404750000006
287,7.5740148225000006
288,7.5643583630000002
289,7.5572819204999995
290,7.5520128404999998
291,7.5474229674999993
292,7.5422383850000001
293,7.5358743060000002
294,7.5271072290000003
295,7.515800638
296,7.5024827209999998
297,7.4877272169999998
298,7.4736369869999999
299,7.4591055470000001
300,7.4446678859999995
301,7.4300135550000004
302,7.4152388499999997
303,7.4013073445000002
304,7.3888825545000003
305,7.3792694525
306,7.3724769869999998
307,7.3686403039999995
308,7.3663979360000003
309,7.3672677689999997
310,7.3687926844999998
311,7.3707403715000002
312,7.3727707334999995
313,7.3750042909999998
314,7.3752682695000003
315,7.3741808795000008
316,7.3721494889999999
317,7.3683245080000006
318,7.3635970215000004
319,7.3580968875000003
320,7.3500437660000006
321,7.3394613225000001
322,7.3259147929999999
323,7.3093356119999999
324,7.2891834640000006
325,7.2657211425000003
326,7.2425977590000006
327,7.2209710860000005
328,7.2015431699999999
329,7.1853524145000005
330,7.1749714969999996
331,7.168936467
332,7.1662904395
333,7.165818765
334,7.1656406700000002
335,7.1647219609999997
336,7.1609073824999996
337,7.1552522869999997
338,7.1485510474999998
339,7.1407673035000006
340,7.1317928219999995
341,7.1213966610000003
342,7.1107961095000007
343,7.0998851995000001
344,7.0891080254999999
345,7.0802305864999999
346,7.0737137109999999
347,7.0695899534999995
348,7.0663266855
349,7.0616357609999998
350,7.057499301
351,7.0513805515000003
352,7.0442285555000002
353,7.0359469025000001
354,7.0270542914999998
355,7.0187996140000006
356,7.0104985395000003
357,7.0018468895000003
358,6.9930976104999996
359,6.9844548209999999
360,6.9765578330000002
361,6.9696416064999998
362,6.9641186309999998
363,6.9603202979999992
364,6.958026158
365,6.9570440360000001
366,6.9570347805000008
367,6.9579033040000002
368,6.9581578339999997
369,6.9566892999999999
370,6.9526230419999999
371,6.9455275259999993
372,6.9344287075000004
373,6.919924215
374,6.9027442489999995
375,6.8840133244999997
376,6.8658060535000001
377,6.8504454804999995
378,6.8383778409999998
379,6.8308768385
380,6.8279698125000001
381,6.8289423219999996
382,6.8326645389999996
383,6.8375003635000002
384,6.8407393619999999
385,6.8393983005000001
386,6.8315865295
387,6.8170427979999992
388,6.7972890980000003
389,6.7752765469999998
390,6.7533258969999999
391,6.7340650850000001
392,6.7171430650000001
393,6.7131543674999996
394,6.7021260584999993
395,6.6936243179999995
396,6.6867525539999999
397,6.6810960020000003
398,6.6757635215000004
399,6.6687868429999995
400,6.6605732524999999
401,6.6509892805000002
402,6.6399418089999998
403,6.6290878680000001
404,6.6178237685000001
405,6.6085175060000001
406,6.6014838620000003
407,6.5980145389999993
408,6.5978739280000003
409,6.6004401270000006
410,6.6033682129999995
411,6.6052556034999999
412,6.6054578025000001
413,6.6031405299999992
414,6.5979916465000006
415,6.5900794445000006
416,6.5784280764999998
417,6.5649186299999993
418,6.549068041
419,6.5310226419999999
420,6.5120185715000005
421,6.4924718669999999
422,6.4732050804999997
423,6.4552891594999995
424,6.4393903229999996
425,6.4259226329999999
426,6.4150206079999998
427,6.4064447649999998
428,6.4003516239999998
429,6.3964577230000002
430,6.3942290375000006
431,6.3926567839999997
432,6.3906528290000004
433,6.3875631760000005
434,6.382129216
435,6.3750749979999997
436,6.3647618794999996
437,6.3516675459999998
438,6.336380063
439,6.3191235085000006
440,6.3005545354999999
441,6.2822586684999999
442,6.2659227959999999
443,6.2525980079999997
