u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2126.873253,580.000000,5.509999,-90.572751,713.443374,5.520534,90.578721,-0.111636
2126.882465,581.000000,5.510931,-90.476431,713.450681,5.521828,90.482463,-0.119682
2126.910956,582.000000,5.513784,-90.380889,713.464146,5.525316,90.387035,-0.133786
2126.931218,583.000000,5.515818,-90.285011,713.474981,5.527867,90.291249,-0.145303
2126.920020,584.000000,5.514717,-90.187859,713.475765,5.526838,90.194106,-0.146930
2126.905549,585.000000,5.513290,-90.090575,713.475502,5.525437,90.096823,-0.147527
2126.903162,586.000000,5.513067,-89.993778,713.479099,5.525410,90.000059,-0.151921
2126.883622,587.000000,5.511135,-89.896290,713.477214,5.523432,89.902559,-0.150922
2126.835150,588.000000,5.506321,-89.797639,713.466086,5.518160,89.803820,-0.140827
2126.785634,589.000000,5.501402,-89.698949,713.454624,5.512770,89.705040,-0.130404
2126.752556,590.000000,5.498122,-89.600922,713.448412,5.509250,89.606965,-0.125147
2126.723577,591.000000,5.495250,-89.503061,713.443508,5.506197,89.509068,-0.121177
2126.679134,592.000000,5.490837,-89.404583,713.433663,5.501385,89.410512,-0.112345
2126.617543,593.000000,5.484717,-89.305422,713.418341,5.494621,89.311229,-0.098124
2126.569851,594.000000,5.479981,-89.206820,713.407457,5.489439,89.212541,-0.088269
2126.566287,595.000000,5.479641,-89.109983,713.410667,5.489278,89.115734,-0.092283
2126.579888,596.000000,5.481011,-89.013829,713.419358,5.491070,89.019655,-0.101689
2126.580246,597.000000,5.481061,-88.917146,713.423818,5.491356,88.923012,-0.106933
2126.562028,598.000000,5.479261,-88.819723,713.422343,5.489527,88.825580,-0.106337
2126.563041,599.000000,5.479377,-88.723065,713.427010,5.489887,88.728963,-0.111785
2126.600078,600.000000,5.483081,-88.627836,713.443183,5.494347,88.633869,-0.128553
2126.628496,601.000000,5.485926,-88.532261,713.456601,5.497825,88.538407,-0.142612
2126.625702,602.000000,5.485662,-88.435446,713.460049,5.497752,88.441623,-0.146860
2126.597862,603.000000,5.482904,-88.337639,713.455495,5.494828,88.343783,-0.143234
2126.549627,604.000000,5.478114,-88.239027,713.444426,5.489583,88.245084,-0.133196
2126.472891,605.000000,5.470486,-88.139294,713.424252,5.481096,88.145189,-0.114201
2126.464284,606.000000,5.469643,-88.042253,713.425838,5.480361,88.048164,-0.116616
2126.400712,607.000000,5.463326,-87.943047,713.409868,5.473372,87.948830,-0.101756
2126.379440,608.000000,5.461223,-87.845509,713.407407,5.471195,87.851276,-0.100190
2126.382896,609.000000,5.461581,-87.748945,713.412842,5.471833,87.754759,-0.106393
2126.393400,610.000000,5.462642,-87.652655,713.420528,5.473272,87.658536,-0.114810
2126.386920,611.000000,5.462012,-87.555698,713.422787,5.472779,87.561600,-0.117888
2126.365708,612.000000,5.459914,-87.458163,713.420341,5.470609,87.464049,-0.116336
2126.323573,613.000000,5.455732,-87.359811,713.411211,5.466059,87.365625,-0.108206
2126.265442,614.000000,5.449958,-87.260836,713.396971,5.459689,87.266536,-0.095049
2126.223073,615.000000,5.445753,-87.162480,713.387764,5.455112,87.168109,-0.086844
2126.220681,616.000000,5.445530,-87.065686,713.391323,5.455084,87.071347,-0.091202
2126.238758,617.000000,5.447345,-86.969689,713.401419,5.457384,86.975436,-0.101990
2126.250492,618.000000,5.448528,-86.873442,713.409488,5.458963,86.879258,-0.110784
2126.243359,619.000000,5.447832,-86.776460,713.411529,5.458395,86.782296,-0.113648
2126.218995,620.000000,5.445421,-86.678808,713.408067,5.455867,86.684620,-0.111096
2126.193492,621.000000,5.442896,-86.581114,713.404240,5.453209,86.586897,-0.108184
