u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2127.197662,581.000000,5.542337,-90.489207,713.551383,5.557706,90.496064,-0.218768
2127.192202,582.000000,5.541808,-90.392277,713.554002,5.557330,90.399158,-0.222202
2127.187086,583.000000,5.541313,-90.295360,713.556731,5.556993,90.302267,-0.225742
2127.169176,584.000000,5.539543,-90.197926,713.555370,5.555200,90.204825,-0.225258
2127.139730,585.000000,5.536624,-90.100027,713.550322,5.552093,90.106887,-0.221147
2127.110844,586.000000,5.533760,-90.002151,713.545452,5.549050,90.008976,-0.217210
2127.096947,587.000000,5.532390,-89.904881,713.545370,5.547714,89.911708,-0.217985
2127.103992,588.000000,5.533107,-89.808454,713.551978,5.548761,89.815338,-0.225343
2127.112711,589.000000,5.533991,-89.712093,713.559120,5.549999,89.719038,-0.233226
2127.096939,590.000000,5.532434,-89.614746,713.558436,5.548449,89.621690,-0.233408
2127.067208,591.000000,5.529486,-89.516840,713.553290,5.545310,89.523745,-0.229199
2127.060053,592.000000,5.528788,-89.419840,713.555356,5.544740,89.426765,-0.232088
2127.076385,593.000000,5.530431,-89.323780,713.564927,5.546845,89.330786,-0.242361
2127.091671,594.000000,5.531969,-89.227675,713.574162,5.548830,89.234760,-0.252303
2127.083227,595.000000,5.531142,-89.130620,713.575813,5.548114,89.137722,-0.254783
2127.045662,596.000000,5.527414,-89.032404,713.568158,5.544083,89.039447,-0.248106
2127.006483,597.000000,5.523525,-88.934126,713.559986,5.539867,88.941105,-0.240920
2126.994691,598.000000,5.522365,-88.836940,713.560564,5.538770,88.843927,-0.242344
2127.006777,599.000000,5.523584,-88.740703,713.568770,5.540391,88.747760,-0.251274
2127.018276,600.000000,5.524745,-88.644441,713.576789,5.541945,88.651567,-0.260019
2127.012513,601.000000,5.524185,-88.547492,713.579289,5.541533,88.554642,-0.263335
2126.986914,602.000000,5.521649,-88.449757,713.575451,5.538864,88.456879,-0.260413
2126.946377,603.000000,5.517625,-88.351432,713.566838,5.534494,88.358486,-0.252794
2126.894833,604.000000,5.512504,-88.252674,713.554708,5.528872,88.259632,-0.241712
2126.843940,605.000000,5.507448,-88.153945,713.542784,5.523323,88.160809,-0.230835
2126.812914,606.000000,5.504372,-88.056003,713.537208,5.520036,88.062825,-0.226203
2126.814010,607.000000,5.504496,-87.959329,713.541893,5.520405,87.966193,-0.231668
2126.844231,608.000000,5.507522,-87.863800,713.555883,5.524090,87.870782,-0.246289
2126.879008,609.000000,5.511002,-87.768447,713.571328,5.528293,87.775558,-0.262342
2126.879873,610.000000,5.511103,-87.671758,713.575937,5.528635,87.678910,-0.267732
2126.834131,611.000000,5.506561,-87.573239,713.565652,5.523673,87.580310,-0.258466
2126.766501,612.000000,5.499838,-87.473866,713.548373,5.516219,87.480799,-0.242319
2126.700440,613.000000,5.493271,-87.374559,713.531595,5.508945,87.381358,-0.226664
2126.644039,614.000000,5.487667,-87.275635,713.517902,5.502770,87.282325,-0.214046
