u,y_ref_observed_px,y_ref_short_gap_px,y_ref_smooth_px,sigma_ref_px,valid_fraction,valid_frame_count,fwhm_p50_px,source
260,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
261,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
262,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
263,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
264,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
265,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
266,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
267,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
268,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
269,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
270,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
271,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
272,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
273,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
274,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
275,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
276,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
277,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
278,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
279,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
280,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
281,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
282,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
283,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
284,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
285,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
286,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
287,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
288,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
289,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
290,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
291,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
292,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
293,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
294,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
295,NaN,NaN,NaN,NaN,0.22,11,NaN,outside_reference_surface
296,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
297,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
298,NaN,NaN,NaN,NaN,0.88,44,NaN,outside_reference_surface
299,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
300,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
301,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
302,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
303,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
304,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
305,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
306,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
307,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
308,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
309,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
310,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
311,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
312,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
313,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
314,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
315,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
316,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
317,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
318,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
319,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
320,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
321,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
322,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
323,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
324,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
325,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
326,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
327,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
328,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
329,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
330,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
331,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
332,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
333,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
334,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
335,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
336,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
337,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
338,NaN,NaN,NaN,NaN,0.2,10,NaN,outside_reference_surface
339,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
340,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
341,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
342,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
343,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
344,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
345,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
346,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
347,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
348,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
349,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
350,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
351,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
352,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
353,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
354,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
355,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
