bin_width_px,v_start_px,v_end_px,v_center_px,model,frame027_point_count,original_status,leave027_status,original_point_count,leave027_point_count,original_unique_frame_count,leave027_unique_frame_count,original_u_ref_px,leave027_u_ref_px,original_b_mm,leave027_b_mm,delta_b_leave_minus_original_mm,original_delta_g_mm_per_px,leave027_delta_g_mm_per_px,delta_g_leave_minus_original_mm_per_px,original_weighted_rmse_mm,leave027_weighted_rmse_mm
30,2490,2520,2505.0,M_local_fullfit,0,ok,ok,239,239,15,15,1999.9487162269468,1999.9487162269468,0.024458396236765465,0.024458396236765465,0.0,0.00021637399439531965,0.00021637399439531965,0.0,0.05925608054519621,0.05925608054519621
30,2520,2550,2535.0,M0,0,ok,ok,184,184,13,13,2001.6923639352583,2001.6923639352583,-0.00933409738053249,-0.00933409738053249,0.0,-0.0001943294913714489,-0.0001943294913714489,0.0,0.051792674656056914,0.051792674656056914
30,2520,2550,2535.0,M_local_fullfit,0,ok,ok,184,184,13,13,2001.6923639352583,2001.6923639352583,0.013198848485223943,0.013198848485223943,0.0,9.532323780530549e-06,9.532323780530549e-06,0.0,0.05165905333804336,0.05165905333804336
30,2550,2580,2565.0,M0,0,ok,ok,162,162,12,12,2003.9713625430425,2003.9713625430425,-0.004604644607815265,-0.004604644607815265,0.0,-0.0003825910315107572,-0.0003825910315107572,0.0,0.0434907096955325,0.0434907096955325
30,2550,2580,2565.0,M_local_fullfit,0,ok,ok,162,162,12,12,2003.9713625430425,2003.9713625430425,0.02015122028160065,0.02015122028160065,0.0,-0.00016982051353622396,-0.00016982051353622396,0.0,0.04323491655867664,0.04323491655867664
30,2580,2610,2595.0,M0,0,ok,ok,133,133,11,11,2001.709460794581,2001.709460794581,-0.010418452454551887,-0.010418452454551887,0.0,-0.000490124914824993,-0.000490124914824993,0.0,0.04240441310030596,0.04240441310030596
30,2580,2610,2595.0,M_local_fullfit,0,ok,ok,133,133,11,11,2001.709460794581,2001.709460794581,0.015541208887443989,0.015541208887443989,0.0,-0.00026926419673278036,-0.00026926419673278036,0.0,0.042030202058323834,0.042030202058323834
30,2610,2640,2625.0,M0,0,ok,ok,88,88,11,11,2012.947617821556,2012.947617821556,-0.04379916207642446,-0.04379916207642446,0.0,-0.00045694347031691987,-0.00045694347031691987,0.0,0.04409331790811736,0.04409331790811736
30,2610,2640,2625.0,M_local_fullfit,0,ok,ok,88,88,11,11,2012.947617821556,2012.947617821556,-0.01326042998089843,-0.01326042998089843,0.0,-0.00022756369970206662,-0.00022756369970206662,0.0,0.043998106393756536,0.043998106393756536
30,2640,2670,2655.0,M0,0,ok,ok,87,87,9,9,2016.2741037791595,2016.2741037791595,-0.03870887860617851,-0.03870887860617851,0.0,-0.0006863022383971102,-0.0006863022383971102,0.0,0.038715883402157536,0.038715883402157536
