frame_id,split,source,point_index,u_px,v_px,formal_domain,region,lambda_truth_mm,lambda_M0_mm,lambda_M_local_fullfit_mm,M0_valid,M_local_fullfit_valid,M0_residual_e_lambda_mm,M_local_fullfit_residual_e_lambda_mm,M0_invalid_reason,M_local_fullfit_invalid_reason,M0_offset_removed_mm,M0_v_line_prediction_mm,M0_v_line_remaining_mm,M_local_fullfit_offset_removed_mm,M_local_fullfit_v_line_prediction_mm,M_local_fullfit_v_line_remaining_mm
027,fit,fit_edge_extension,193,1879.4142094069157,687.9244713998869,True,middle_formal,642.6006639132572,642.6731555001128,642.6586352275726,True,True,-0.07249158685556267,-0.05797131431540947,,,-0.3537082837302317,0.04810072249191208,-0.12059230934747475,-0.34566380830863325,0.06158491694466159,-0.11955623126007106
027,fit,fit_edge_extension,194,1880.019695869745,692.9965864293296,True,middle_formal,642.81292951711,642.8483798989242,642.8339971012426,True,True,-0.035450381814257526,-0.021067584132651973,,,-0.3166670786889266,0.05072744089637421,-0.08617782271063174,-0.30876007812587575,0.06412786655622027,-0.08519545068887224
027,fit,fit_edge_extension,195,1882.46772496072,710.085488696355,True,middle_formal,643.5314059015496,643.5452111100002,643.5313038447601,True,True,-0.01380520845054889,0.00010205678950114816,,,-0.29502190532521794,0.05957734548968199,-0.07338255394023088,-0.2875904372037226,0.07269553845041854,-0.07259348166091739
027,fit,fit_edge_extension,196,1882.9372939261584,713.0083710479826,True,middle_formal,643.6547384460556,643.6777299411551,643.6639055478464,True,True,-0.022991495099518033,-0.009167101790808374,,,-0.3042081919741871,0.061091031362839554,-0.08408252646235759,-0.29685959578403215,0.07416095130039482,-0.0833280530912032
027,fit,fit_edge_extension,197,1883.2072192846751,715.9774055428969,True,middle_formal,643.7788944978253,643.7585419979952,643.7447947570982,True,True,0.02035249983009635,0.03409974072701516,,,-0.2608641970445727,0.06262861824839003,-0.04227611841829368,-0.2535927532662086,0.0756495029345198,-0.04154976220750464
027,fit,fit_edge_extension,198,1886.5847759273706,739.0453747796445,True,middle_formal,644.7523851539718,644.7204459721809,644.707339283351,True,True,0.031939181790903604,0.045045870620811,,,-0.24927751508376544,0.07457492841604188,-0.04263574662513828,-0.24264662337241277,0.0872148327958342,-0.042168962175023195
027,fit,fit_edge_extension,199,1892.2123704793264,779.97112733562,True,middle_formal,646.4845041950175,646.3367520457911,646.3247591151785,True,True,0.14775214922644864,0.15974507983901276,,,-0.1334645476482204,0.09576932697191529,0.05198282225453335,-0.12794741415421101,0.10773331984923223,0.052011759989780526
027,fit,fit_edge_extension,200,1893.4909074381972,786.8747075050629,True,middle_formal,646.7794632597814,646.696343590861,646.6845486793081,True,True,0.08311966892040346,0.0949145804733007,,,-0.1980970279542656,0.09934451424241136,-0.016224845322007908,-0.19277791351992307,0.111194490664236,-0.016279910190935304
027,fit,fit_edge_extension,201,1895.768357062285,801.0639602300088,True,middle_formal,647.3845296466754,647.3443608729499,647.3329592611383,True,True,0.040168773725554274,0.0515703855371612,,,-0.24104792314911477,0.10669276463930247,-0.0665239909137482,-0.23612210845606257,0.11830839768246343,-0.06673801214530223
027,fit,fit_edge_extension,202,1899.0691882229269,821.9901032380259,True,middle_formal,648.278564911111,648.2866520688572,648.2758247434665,True,True,-0.0080871577462176,0.002740167644446956,,,-0.28930385462088665,0.11752987788584582,-0.12561703563206342,-0.2849523263487768,0.1287999040707769,-0.12605973642632995
