model,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,fold_count,frame_ids,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,mean_frame_rmse_mm,std_frame_rmse_mm,mean_fold_rmse_mm,std_fold_rmse_mm,selection_score,selection_rank
quadratic_graph,v_1100_1200,1100.0,1200.0,1262,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1262,1.0,0.018390882967941467,0.0562816649002178,0.07730952364859808,0.13312511529205723,0.4301079135092323,0.06829713338787677,0.049046380714822285,0.07404920771620656,0.024325920616916,0.01271274570158755,1
quadratic_graph,v_1200_1300,1200.0,1300.0,1469,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1469,1.0,0.06697626995234483,0.07390100178935946,0.10298952596503817,0.1725557633792277,0.3947794578192543,0.07477242996859618,0.060659226420785244,0.08859440216321136,0.05101684793407389,0.01271274570158755,1
quadratic_graph,v_1300_1400,1300.0,1400.0,1602,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1602,1.0,0.061902951658297296,0.0739127638703438,0.11177759666517927,0.19561072406981983,0.42446021964531155,0.07454440284539177,0.06347339652092522,0.08926507865914952,0.061252641082975505,0.01271274570158755,1
quadratic_graph,v_1400_1500,1400.0,1500.0,1593,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1593,1.0,0.04793592468599349,0.062496947252776075,0.0990775545358401,0.13665520884496757,0.4852839675437508,0.06670602443580137,0.06794804058928121,0.08129698292564681,0.06071180763897827,0.01271274570158755,1
quadratic_graph,v_1500_1600,1500.0,1600.0,1539,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1539,1.0,0.019200587800849357,0.05231453453169503,0.0832581878886071,0.116748683470837,0.506049960701489,0.06472404205877126,0.07244178049376924,0.07318766927227104,0.04104485928065364,0.01271274570158755,1
quadratic_graph,v_1600_1700,1600.0,1700.0,1493,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1493,1.0,-0.01382148463403168,0.07427052780696324,0.11914118536619078,0.2093016152279912,0.5123190518002048,0.07274026202373668,0.07443495219510882,0.09403561342832195,0.06437590962111674,0.01271274570158755,1
quadratic_graph,v_1700_1800,1700.0,1800.0,1464,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1464,1.0,0.00390778079003769,0.07680192365329623,0.13242649704237378,0.4662408846153937,0.5519191375714172,0.07164700869413554,0.07905390406708133,0.09582613352232572,0.07669457530880273,0.01271274570158755,1
quadratic_graph,v_1800_1900,1800.0,1900.0,1342,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1342,1.0,0.014208490394612309,0.05932856986058979,0.09491997703324753,0.1305099121215449,0.6355989710015137,0.07438415948240024,0.08784176186758068,0.07953042364298112,0.05241754919449451,0.01271274570158755,1
quadratic_graph,v_1900_2000,1900.0,2000.0,1253,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1253,1.0,0.010462019966541839,0.04674044398846549,0.060158861328091194,0.11330253145763433,0.6306585793781778,0.07232205567112414,0.09843411710761792,0.0611376684450655,0.013470450736875762,0.01271274570158755,1
quadratic_graph,v_2000_2100,2000.0,2100.0,1126,30,6,"001,002,003,004,005,006,008,009,010,011,012,013,016,017,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051,053",1126,1.0,0.006398740731267206,0.05031613263769013,0.0633845158399771,0.12151430889929316,0.249387970929547,0.05929822784102721,0.030800858410048863,0.06514081364570533,0.012301274744713908,0.01271274570158755,1
