scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv,C1_3k,C0,3,7,0.1,29,v_2900_3000,2900.0,3000.0,345,11,-0.11558182120164216,0.12520313842849357,0.1751714027781555,0.19237534066638656,0.2392512818067871
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.023165958732396765,0.078123948952138,0.13516807213207252,0.17666243402158693,0.20227994601350047
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,1,v_0100_0200,100.0,200.0,643,18,0.04039743669936155,0.11359326285511158,0.20610871305979092,0.31210708331454456,0.3662892808060753
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,2,v_0200_0300,200.0,300.0,920,22,0.0618491548296903,0.12036360772460232,0.19303141603435411,0.3491108917149649,0.4769458277571898
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,3,v_0300_0400,300.0,400.0,976,26,0.062269495520885614,0.10271351749458911,0.22037946704943898,0.26074521523656613,0.3712406125814935
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,4,v_0400_0500,400.0,500.0,1061,30,0.02101937694313478,0.08387867765621237,0.13612910070583276,0.271076907393379,0.5179475276222415
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,5,v_0500_0600,500.0,600.0,1366,30,-0.008864753983372069,0.06513800496925674,0.1220089673935451,0.17665589113127292,0.27842174407875203
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,6,v_0600_0700,600.0,700.0,1363,31,-0.042519184754842676,0.07762714619319942,0.14355485505840032,0.18778423767659344,0.3754232305259176
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,7,v_0700_0800,700.0,800.0,1003,31,-0.07562042436336883,0.10319020718274176,0.19802598694519374,0.23805483227214402,0.3554931254135335
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,8,v_0800_0900,800.0,900.0,1177,33,-0.0596547466887785,0.09473495795366603,0.17790725551874495,0.22913303596356172,0.28496432805225025
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,9,v_0900_1000,900.0,1000.0,1583,35,-0.024565881252067306,0.07402176108436309,0.14785078163875814,0.20446595383081775,0.25354133733400114
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,10,v_1000_1100,1000.0,1100.0,1554,36,0.013156441365324394,0.07406248250847597,0.14121386994456922,0.2684035606098241,0.3952908810349512
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,11,v_1100_1200,1100.0,1200.0,1262,36,0.04936297712232716,0.09667815639013431,0.16415157885854703,0.376809572412284,0.4915543820038161
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,12,v_1200_1300,1200.0,1300.0,1469,36,0.0785312874561398,0.10981365177451922,0.18363505469108302,0.4181418873120559,0.44884134891998484
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,13,v_1300_1400,1300.0,1400.0,1602,36,0.06232652021018232,0.10622383924184248,0.16228036847954583,0.4505441922549146,0.4729578942156645
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,14,v_1400_1500,1400.0,1500.0,1593,36,0.044470088446115635,0.10039603085764452,0.136192011916072,0.48770464973980543,0.5382766365540159
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,15,v_1500_1600,1500.0,1600.0,1539,36,0.01688941180774683,0.10309169641265513,0.14038981269738443,0.5139902951925148,0.5583226542516962
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,16,v_1600_1700,1600.0,1700.0,1493,36,-0.025949767995284412,0.11454134628636502,0.16619000436451012,0.5158256455733443,0.5629280960584442
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,17,v_1700_1800,1700.0,1800.0,1464,36,-0.022296079643645054,0.11789518084530927,0.1613890018839765,0.5744914722364219,0.6085371580949426
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,18,v_1800_1900,1800.0,1900.0,1342,36,0.0005567797051082533,0.12487745832216994,0.16748571233709894,0.6339450238577131,0.7059268085929671
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,19,v_1900_2000,1900.0,2000.0,1253,36,0.0011793396746102875,0.13442001359359118,0.1568974826361943,0.5430791938164439,0.7038234189332968
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,20,v_2000_2100,2000.0,2100.0,1126,30,-0.010251871829379509,0.06709863944856384,0.1439500020917303,0.19602833189044935,0.25974423474010466
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,21,v_2100_2200,2100.0,2200.0,842,25,-0.010757639055904317,0.0707265722219582,0.16607029509669524,0.19566531745697927,0.24237295701276046
full36_grouped_cv,C1_3k,C0+C1,3,7,0.1,22,v_2200_2300,2200.0,2300.0,689,23,0.006454838858309998,0.06593373726917685,0.13301218083854394,0.20412712785564013,0.30729316071504703
