scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
1758,2107.541705697775,0.0019956954238393434,0.7209529291861827,0.0006241540957257658,1.0,1.0,False
1759,2108.7586230114102,0.004708593232076443,0.3364401603200804,0.0014742295792422786,1.0,1.0,False
1760,2109.3717266730964,0.3669167496050092,0.14070382013528615,0.1149433424261027,1.0,1.0,False
1761,2109.791175380349,0.003806808724625226,0.005572889984932772,0.0011930113573888975,1.0,1.0,False
1762,2109.9078744500875,0.0013047505260638742,-0.034716183947352874,0.0004089411115873563,1.0,1.0,False
1763,2109.9676351677626,0.0009077509206935399,-0.057161160051180104,0.0002845297377518909,1.0,1.0,True
1764,2109.9957418669946,0.0025764882159425746,-0.06968405892797591,0.0008076152598649192,1.0,1.0,True
1765,2109.991474407958,0.005142571757931277,-0.07205809285102305,0.0016119795939454997,1.0,1.0,True
1766,2109.9578715376556,0.008129099748319006,-0.06523556339681136,0.002548080065647219,1.0,1.0,True
1767,2109.9164466001093,0.01074135088231209,-0.05596016288228611,0.0033668046934579535,1.0,1.0,True
1768,2109.8855521939695,0.010807258016671,-0.04998443655375695,0.0033874042647137432,1.0,1.0,True
1769,2109.865497097373,0.006295053293587133,-0.047404993070358614,0.001973093278222441,1.0,1.0,True
1770,2109.8442278802395,0.0009263245099966845,-0.04444380254716407,0.0002903404777287144,1.0,1.0,True
1771,2109.8305044546723,0.006148519238026882,-0.043846505165447525,0.0019271437954838373,1.0,1.0,True
1772,2109.83700812608,0.007513276339658141,-0.049587851342835165,0.0023549405687047845,1.0,1.0,True
1773,2109.85400968045,0.006000330918662578,-0.058618557403349314,0.001880775114839913,1.0,1.0,True
1774,2109.8651171401143,0.0029899501169234613,-0.06580074860136165,0.0009372045771179674,1.0,1.0,True
1775,2109.8713902011514,0.0006494723988407493,-0.07146648308992098,0.00020358138549405106,1.0,1.0,True
1776,2109.873077850789,0.004130975941590704,-0.07569373658503764,0.0012948968433250888,1.0,1.0,True
1777,2109.8537028357387,0.006269354252707615,-0.07331749060773518,0.0019651797325582697,1.0,1.0,True
1778,2109.808431841433,0.007064370256168609,-0.06282288354691445,0.0022143171751921333,1.0,1.0,True
1779,2109.755197390914,0.007289423890504656,-0.04983132005537527,0.002284774796231034,1.0,1.0,True
1780,2109.7172612398863,0.007541440971175546,-0.04163392572479552,0.0023637105043134003,1.0,1.0,True
1781,2109.686690658331,0.007229491071922164,-0.03574404207125781,0.0022658976545669725,1.0,1.0,True
1782,2109.653364688158,0.005928291417845333,-0.028989445000661362,0.0018580339832920572,1.0,1.0,True
1783,2109.630501061678,0.004720784208008219,-0.02551279667380868,0.0014795643692793212,1.0,1.0,True
1784,2109.625792860985,0.003997628581258299,-0.027725131155818872,0.0012529242271051317,1.0,1.0,True
1785,2109.618423819542,0.002438490214294796,-0.029102297931729026,0.0007642668163496993,1.0,1.0,True
1786,2109.595511689782,0.0002871254054804656,-0.025606777322593643,8.998936703754318e-05,1.0,1.0,True
1787,2109.592530876398,0.002835850702055505,-0.02835683263924693,0.0008888045223666842,1.0,1.0,True
1788,2109.6092296391726,0.0025708523920432587,-0.03727370390964779,0.000805769816538607,1.0,1.0,True
1789,2109.621022850275,0.00011784258843645972,-0.04465201553978204,3.69355996389191e-05,1.0,1.0,True
1790,2109.6284644156694,0.0030629168484079465,-0.05066528745646792,0.0009600314953424108,1.0,1.0,True
1791,2109.610763028264,0.005776752424024413,-0.04879666044240594,0.0018106380318994553,1.0,1.0,True
1792,2109.557271629572,0.006675681482489017,-0.03570920826280144,0.0020923156736788236,1.0,1.0,True
1793,2109.484992146492,0.004774732174102163,-0.01673266541962448,0.0014964321972731542,1.0,1.0,True
1794,2109.5007507503033,0.0011563830825933995,-0.025347230399745513,0.0003624268376212737,1.0,1.0,True
1795,2109.489665016532,0.001382311264036047,-0.02554728199845613,0.0004332361074397979,1.0,1.0,True
1796,2109.5174714028835,0.0003150476926189329,-0.037935672942978726,9.874392219126011e-05,1.0,1.0,True
1797,2109.475760728121,0.0035487224977687666,-0.02853477905722457,0.0011122294643137606,1.0,1.0,True
1798,2109.4934408664703,0.006310394746445098,-0.03774699194366349,0.0019778357527334106,1.0,1.0,True
1799,2109.495628744364,0.00575182256313022,-0.042102462500679394,0.0018027873532799538,1.0,1.0,True
1800,2109.471118301153,0.002436635752960317,-0.038088733041035994,0.0007637031827199888,1.0,1.0,True
1801,2109.4847981482744,0.0010485503706782772,-0.04604369586252233,0.0003286495710583403,1.0,1.0,True
1802,2109.43288102746,0.0033570386307412207,-0.03343754409513622,0.0010521664303719594,1.0,1.0,True
1803,2109.4072469621897,0.0018594978828763893,-0.029068085706683178,0.0005827983586134078,1.0,1.0,True
1804,2109.3962841182947,0.0018701610355496454,-0.029295643557190942,0.000586140674410252,1.0,1.0,True
1805,2109.39862729609,0.004321211010700688,-0.03369234261259635,0.0013543587406850473,1.0,1.0,True
1806,2109.4148999154568,0.004628693344011915,-0.042453733905517765,0.0014507662468047923,1.0,1.0,True
1807,2109.43338881433,0.00420201972311188,-0.051908782209011406,0.0013170697434095994,1.0,1.0,True
1808,2109.431367740035,0.005247303713030563,-0.054934156577985505,0.0016447147249985844,1.0,1.0,True
1809,2109.4076472967863,0.006394498782648587,-0.05115689204399132,0.002004269689893357,1.0,1.0,True
1810,2109.3832806795835,0.006293009171434354,-0.047175912806096676,0.0019724365193090156,1.0,1.0,True
1811,2109.357645049691,0.004688773676564195,-0.042796009970004434,0.0014695977132784244,1.0,1.0,True
1812,2109.302982598543,0.002899618883852488,-0.029317324850410387,0.0009087896637988186,1.0,1.0,True
1813,2109.2463247925043,0.0029441048824557364,-0.015212585421977565,0.0009226951224940341,1.0,1.0,True
1814,2109.215145751834,0.0037746717526356693,-0.009092117286115808,0.0011829775870045764,1.0,1.0,True
1815,2109.208641767502,0.004333033201707993,-0.010703616856858389,0.0013579734951068576,1.0,1.0,True
1816,2109.2154381498694,0.0053852819583431015,-0.016482282357912936,0.0016877761164228492,1.0,1.0,True
1817,2109.223579160869,0.007427781457453793,-0.022681241350824166,0.0023279472907539052,1.0,1.0,True
1818,2109.22338449955,0.009103803572050132,-0.026266559892917485,0.0028532597141604464,1.0,1.0,True
1819,2109.2242155969143,0.00950672744381428,-0.030172181008822463,0.002979574627536704,1.0,1.0,True
1820,2109.2502650395036,0.008863303117734844,-0.041980667838458885,0.0027780074917419196,1.0,1.0,True
1821,2109.301438242197,0.007323984306283588,-0.0616631699523964,0.0022956704901986856,1.0,1.0,True
1822,2109.3432235866785,0.00516705611346582,-0.07840281567979446,0.0016196680552546196,1.0,1.0,True
1823,2109.361546367407,0.0026769570831694342,-0.08778717527206936,0.0008391427277701009,1.0,1.0,True
1824,2109.351027801633,0.00015385707048901868,-0.08812957388556697,4.822944646485862e-05,1.0,1.0,True
1825,2109.3081656098366,0.0025623598020683134,-0.07833215948750194,0.0008031982864116573,1.0,1.0,False
1826,2109.2264083474874,0.004678679506345836,-0.05634228791353735,0.0014664886381579605,1.0,1.0,False
1827,2109.1580232530832,0.00520690595873287,-0.038543718634514335,0.00163197339726371,1.0,1.0,True
1828,2109.1175043955445,0.003478537458286,-0.029478465496310946,0.0010902316276593064,1.0,1.0,True
1829,2109.111975375563,0.00015260847010188343,-0.03137851152229132,4.783029429421972e-05,1.0,1.0,True
1830,2109.1464084759355,0.0030614733188464483,-0.045802499731905755,0.0009595613311405851,1.0,1.0,True
1831,2109.200608730316,0.005093467715965799,-0.06642181065723207,0.0015965455991848608,1.0,1.0,True
1832,2109.2230987399817,0.005581823249661528,-0.07710110137168158,0.0017496736576076046,1.0,1.0,True
1833,2109.1839827001095,0.004288146808043892,-0.06846845671543633,0.0013441257821312422,1.0,1.0,True
1834,2109.1171030141413,0.002197794830805144,-0.05113257097701762,0.0006888678754882948,1.0,1.0,True
1835,2109.05902159214,0.00026447147440586004,-0.03655388864780207,8.289141516081233e-05,1.0,1.0,True
1836,2109.031970928423,0.0010850034433731526,-0.03170007228771965,0.0003400602063957012,1.0,1.0,True
1837,2109.0277139591053,0.0038822107537002317,-0.033989042863254326,0.0012167647677492823,1.0,1.0,True
1838,2109.024381405674,0.004681591590160135,-0.036566539044997626,0.0014673179288994351,1.0,1.0,True
1839,2109.0127484337427,0.0029828082017343887,-0.03654128053409522,0.000934880254406023,1.0,1.0,True
1840,2108.987646093592,0.0002927612293797817,-0.03229321873243407,9.175694607738091e-05,1.0,1.0,True
1841,2108.948963632807,0.002906733798716733,-0.023787797134048105,0.0009110036412367513,1.0,1.0,True
1842,2108.9077015928924,0.0033202707737715292,-0.014472911075415595,0.0010405832187515797,1.0,1.0,True
1843,2108.869297862053,0.0015714241733044286,-0.006052830725423064,0.0004924774109593798,1.0,1.0,True
1844,2108.848311252892,0.0023555346797132287,-0.003090092643674325,0.0007382079483427169,1.0,1.0,True
1845,2108.8599197492003,0.006654660741794208,-0.01034129926983951,0.0020855668356033813,1.0,1.0,True
1846,2108.8925989195704,0.008300526786281003,-0.024195169312179132,0.002601483063410796,1.0,1.0,True
1847,2108.9033873341978,0.0075956576234287474,-0.03118733777620264,0.0023806162224918963,1.0,1.0,True
1848,2108.8780271299183,0.007402024464657573,-0.026848752419937227,0.002319899417846686,1.0,1.0,True
1849,2108.85136680305,0.009836674047381814,-0.022101531096268445,0.003082911425306943,1.0,1.0,True
1850,2108.8581920191646,0.014241536015664498,-0.027847874443921228,0.0044635121478783955,1.0,1.0,False
1851,2108.8492297902703,0.01659362519051196,-0.02864501916280915,0.005200704280143516,1.0,1.0,False
1852,2108.8015628010035,0.014921311998584581,-0.017310434605803948,0.0046764238810322635,1.0,1.0,False
1853,2108.7511883974075,0.010799371287643399,-0.005126500605740603,0.0033844667730754344,1.0,1.0,False
1854,2108.7342641949654,0.006686176047768229,-0.003424682534500789,0.0020954026783939544,1.0,1.0,False
1855,2108.743414118886,0.004169482356061469,-0.009893166833876421,0.0013067119127748484,1.0,1.0,False
1856,2108.7384489178658,0.00345789603922779,-0.011936830682543587,0.001083707772649111,1.0,1.0,False
1857,2108.708341881633,0.0034692967617499866,-0.0060998544891504025,0.001087262718174466,1.0,1.0,False
1858,2108.676409125328,0.002654872134549726,0.00031040888484312745,0.0008320103637272785,1.0,1.0,False
1859,2108.6603554040194,0.0005989699376125706,0.001745501110576697,0.00018771042442585273,1.0,1.0,False
1860,2108.650751069188,0.0015432700784991514,0.0011606448815086878,0.0004836442729242962,1.0,1.0,False
1861,2108.6480970978737,0.0018851863870437793,-0.0016011716284651811,0.000590801855974858,1.0,1.0,False
1862,2108.666309401393,5.304180885096014e-05,-0.010901220508401366,1.6623304195931153e-05,1.0,1.0,False
1863,2108.701088473201,0.0013925108013756833,-0.025392499801114354,0.00043643104512381423,1.0,1.0,False
1864,2108.729185074568,0.0014991634015325008,-0.03778870527668232,0.00046987399455737265,1.0,1.0,False
1865,2108.72768945992,0.002597489200302144,-0.04090900988643398,0.00081412310618226,1.0,1.0,False
1866,2108.6824479848146,0.0063225541122404905,-0.030317138139309918,0.001981599118109672,1.0,1.0,False
1867,2108.6226351112127,0.011204086400469259,-0.01515760431544777,0.003511405248515905,1.0,1.0,False
1868,2108.567371353507,0.014813711094336268,-0.0014231564173314837,0.004642494526380584,1.0,1.0,False
1869,2108.5159552395344,0.016169174815870876,0.011106204725024327,0.0050671050157647165,1.0,1.0,False
1870,2108.4996347874403,0.014852696929208846,0.012638267534839542,0.004654526485840195,1.0,1.0,False
1871,2108.5439019054174,0.010786116103786724,-0.004815769326341979,0.003380313083738901,1.0,1.0,False
1872,2108.6292995661497,0.008546769748705902,-0.035160441294351585,0.0026787454800777425,1.0,1.0,False
1873,2108.6956756561995,0.009971206787828587,-0.05954428506629483,0.0031254129061449296,1.0,1.0,False
1874,2108.719629481435,0.011261658995535141,-0.07063093942281284,0.0035300090512011815,1.0,1.0,False
1875,2108.7030083984137,0.011605535132535524,-0.06899819611720659,0.003637781721494464,1.0,1.0,False
1876,2108.6514735370874,0.012771485549740898,-0.05642065820654807,0.004003108424967929,1.0,1.0,False
1877,2108.586082741618,0.014770637015158135,-0.03949951401597218,0.0046295017852921476,1.0,1.0,False
1878,2108.536687910557,0.015645753104214084,-0.027591306806357352,0.0049036199594541165,1.0,1.0,False
1879,2108.5258714556694,0.013565637542807419,-0.027773132096797326,0.004251682379556079,1.0,1.0,False
1880,2108.5386208742857,0.010209041453975562,-0.03533973143584035,0.003199742204722635,1.0,1.0,False
1881,2108.549949929118,0.006574381532093083,-0.04246009445165555,0.002060600466728415,1.0,1.0,False
1882,2108.5497138649225,0.0022917559612041184,-0.045954489369137264,0.0007183095453093904,1.0,1.0,False
1883,2108.5293368548155,0.0017022058442337327,-0.04313488030913959,0.0005335214769310305,1.0,1.0,False
1884,2108.4759482741356,0.003953037215533773,-0.0299675104522521,0.0012389520073349772,1.0,1.0,False
