row_v_px,bias_mm,build_sample_count,supported,in_high_precision_work_region,smooth_window,aggregate
806,-0.169196171,5,True,True,1,median
807,-0.170691163,5,True,True,1,median
808,-0.187061351,5,True,True,1,median
809,-0.171466608,5,True,True,1,median
810,-0.158303237,5,True,True,1,median
811,-0.156105989,5,True,True,1,median
812,-0.169810511,5,True,True,1,median
813,-0.191973871,5,True,True,1,median
814,-0.177271836,6,True,True,1,median
815,-0.183824174,6,True,True,1,median
816,-0.173915863,6,True,True,1,median
817,-0.167110255,6,True,True,1,median
818,-0.162488751,6,True,True,1,median
819,-0.168533275,6,True,True,1,median
820,-0.195142370,7,True,True,1,median
821,-0.152748113,6,True,True,1,median
822,-0.131964973,6,True,True,1,median
823,-0.115422798,6,True,True,1,median
824,-0.108678669,6,True,True,1,median
825,-0.111743343,6,True,True,1,median
826,-0.118063193,6,True,True,1,median
827,-0.116807809,6,True,True,1,median
828,-0.111956223,6,True,True,1,median
829,-0.105598432,6,True,True,1,median
830,-0.103062062,6,True,True,1,median
831,-0.121781345,5,True,True,1,median
832,-0.116370109,5,True,True,1,median
833,-0.122488560,5,True,True,1,median
834,-0.130502598,5,True,True,1,median
