split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,30,600,630,615,375,22,"004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,032,033,034",1814.53689222,2126.67087109,312.133978867,310.784191401,625.869727238,713.429442634,87.5597153961,87.1755279098,63.593293018,0.288474686631,99.1967745521,1.11152990871,0.999363768424,103.359646229,0.000118914514546,0.295393678477,685.610943894,0.055532234856,20.0159405,0.279884390951,0.288542040881,0.298058198858,0.0629849565501,0.296284834645,0.296284834645,0.000248013271138,0.00120661913639,0.998737304123,93.8985221897,-0.00781014801371,0.973639730758,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,630,660,645,384,24,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,028,029,030,031,032,033,034,036",1817.2730638,2126.66685229,309.393788487,307.33436551,626.691088039,713.400167725,86.7090796866,86.3481950874,63.593293018,0.288931440859,98.3806138993,1.06782226299,0.999398986693,101.840863128,0.000118139034391,0.296620620138,687.335041073,0.0586818258096,18.1968138902,0.281020625976,0.288841235955,0.299229487557,0.0630410734838,0.296202204843,0.296202204843,0.000250553391987,0.0013017285214,0.99875925259,91.0754270799,-0.0072707639841,0.975453376561,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,660,690,675,384,26,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1820.15365061,2125.92109112,305.767440513,304.122876525,627.46266014,713.373427353,85.9107672128,85.508868585,63.593293018,0.287622919891,101.206292602,0.968481888213,0.999428845263,100.913687034,0.000119452750818,0.294675051709,684.66677904,0.0760380038847,12.7368136818,0.28146024891,0.287461208649,0.295082736263,0.0473889587282,0.292302796851,0.292302796851,0.000246360255403,0.00107664216821,0.998874240786,95.7939752898,-0.00467987696054,0.983989626473,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,690,720,705,376,26,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1823.13607479,2125.39691844,302.260843644,301.839124623,628.28912218,713.343964241,85.0548420606,84.9103707892,63.593293018,0.2881058612,100.264132616,0.972866731916,0.99942821169,98.7205469671,0.000120418616201,0.294080204458,683.962360155,0.0529313650205,18.3797778791,0.281036363568,0.288509400633,0.296621572706,0.0540197619335,0.291487461972,0.291487461972,0.000247055638837,0.00106866817205,0.998898650502,93.9325385974,-0.00338160077219,0.988398812253,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,720,750,735,304,24,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,027,028,029,030,031,032,033,034,035,036",1870.71352707,2125.1678969,254.454369833,252.255034819,640.563645786,713.31393083,72.7502850438,72.3167311057,63.593293018,0.291791954255,92.6579901771,0.804568951677,0.999525485198,85.6080874355,0.000124117774798,0.296303002499,686.548498711,0.0496169633278,16.2156024415,0.28586983444,0.291424061272,0.299446744374,0.0465881570468,0.290826883923,0.290826883923,0.000249758497604,0.00101046279069,0.998966484412,85.6080874355,0.000965070332278,1.00331836699,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,750,780,765,311,26,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1829.63877031,2124.57851651,294.939746197,294.102390178,630.058260001,713.287585762,83.2293257606,82.943166992,63.593293018,0.287873617593,101.00035515,0.898356594272,0.999456125659,94.1516384653,0.00012004735609,0.292941714417,682.748193272,0.0911375120684,9.85715512618,0.281679170824,0.287824086268,0.297020068449,0.0532995616328,0.289810228894,0.289810228894,0.000245298383,0.00114916254501,0.998778490901,94.1516384653,-0.00193661130165,0.993317657182,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,780,810,795,331,26,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1832.1227357,2123.96365738,291.840921679,291.02880692,630.831900257,713.2584155,82.4265152432,82.0959055663,63.593293018,0.288535470789,99.7494593747,0.909215391587,0.999450139171,92.3470661166,0.000121810564381,0.292316377239,682.004702459,0.0641549951565,14.1721683459,0.282179718786,0.288154121253,0.296757053785,0.0505886743367,0.28904122296,0.28904122296,0.000245353748642,0.00112346004049,0.998797154464,92.3470661166,-0.000505752170889,0.998250242074,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,810,840,825,342,26,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1834.90024393,2123.54739482,288.647150887,288.099130799,631.507801847,713.229489407,81.7216875598,81.3611766813,63.593293018,0.28812874903,100.71969852,0.867100768309,0.999465087614,90.3755118784,0.000121086286189,0.29177582528,681.282133048,0.0659535752563,13.1471381944,0.281738301136,0.288540813633,0.296403134622,0.0508241219037,0.285976143095,0.285976143095,0.000245227561404,0.00109287241763,0.998810642519,90.3755118784,0.00215260593422,1.00752722206,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,840,870,855,364,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1839.27228399,2123.10666854,283.834384547,283.505839748,632.823874318,713.202803125,80.3789288069,80.2711452607,63.593293018,0.288662033168,99.7051625276,0.826396831867,0.999508447055,91.3867731518,0.000119554080569,0.293983660939,684.196000431,0.0620070570997,13.3274641714,0.283282513328,0.288620560861,0.296861462316,0.0470477534488,0.293669407932,0.293669407932,0.000246903750132,0.00108657463918,0.998874839936,91.3867731518,-0.00500737476368,0.982948939765,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
fit,30,870,900,885,400,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1839.94178009,2122.58141143,282.639631338,280.759006231,633.229107355,713.173233173,79.9441258179,79.4952464713,63.593293018,0.289156296301,98.7971173246,0.828643360448,0.99949954313,89.8458142983,0.000121513797266,0.293849920254,683.886157109,0.0548844213828,15.0979702358,0.283224860373,0.289156296301,0.29712437233,0.0480692004113,0.293446494465,0.293446494465,0.00024708585443,0.00106539726124,0.998887006667,89.8458142983,-0.00429019816327,0.985379964511,0.5,WELL_CONSTRAINED,bin_0600_0899,3571,27,87.5597153961
