candidate_weighting,metric_weighting,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_fraction
frame_equal,point_equal,bin_0000_0299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.0217028686838,0.0477658980998,0.0583895382555,0.103731040118,5.47198777518,0.972074826958
frame_equal,point_equal,bin_0300_0599,300,600,1900,0,-0.0412066420957,0.119902079311,0.153367432478,0.345094914097,44.6909817554,-0.0163862620946,0.0289954868602,0.0366605799359,0.0709191589859,2.55359643035,0.942861035268
frame_equal,point_equal,bin_0600_0899,600,900,1717,0,-0.144169419101,0.163640879425,0.176821257178,0.289794031818,53.6833047516,-0.0256116669282,0.0289667267269,0.0353885633585,0.0705980781778,2.15028566527,0.959944983357
frame_equal,point_equal,bin_0900_1199,900,1200,1875,0,-0.0893377504017,0.107646870875,0.133125911501,0.251223241484,33.229703087,-0.0108161241897,0.0249643124392,0.0293832519117,0.0547670550638,1.6188290492,0.951283673978
frame_equal,point_equal,bin_1200_1499,1200,1500,1490,0,-0.00755780388122,0.0562040353106,0.0682211100387,0.120331663811,6.93463858382,0.00887415895178,0.0196895911143,0.0230052045114,0.042726471354,0.788566757574,0.886285817488
frame_equal,point_equal,bin_1500_1799,1500,1800,1945,0,-0.0885014974293,0.0960128156815,0.114514546284,0.202679244183,25.5059156491,0.00180688278901,0.0187400636746,0.0222427671793,0.0369883150085,0.962270645541,0.96227264848
frame_equal,point_equal,bin_1800_2099,1800,2100,1732,0,-0.0755715457546,0.0825489452681,0.0985810627357,0.177092770762,16.8319673109,0.00497328605486,0.0207126935739,0.0244360782663,0.0394414268101,1.03421516724,0.938556489082
frame_equal,point_equal,bin_2100_2399,2100,2400,1561,0,-0.0976729328601,0.099988219028,0.112621270183,0.178994575719,19.7990223266,0.00589268641777,0.0180456749774,0.0218552072264,0.0389555936069,0.745611779422,0.962340979917
frame_equal,point_equal,bin_2400_2699,2400,2700,1759,0,-0.115329730335,0.127433352117,0.144876412573,0.242342571352,36.9199586842,0.00265442025976,0.0253030124656,0.030765144189,0.0491401068772,1.66488311657,0.954905607268
frame_equal,point_equal,bin_2700_2999,2700,3000,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.00624365273563,0.0321097613585,0.0425992436228,0.0895377959622,3.59309720332,0.980269981701
frame_equal,point_equal,extrap_top_v_lt_242,0,241.997693497,1141,0,0.283016606051,0.294641525492,0.374683159676,0.722436861786,160.182103435,0.0247997855721,0.0518408201594,0.0618341020542,0.106685480791,4.36256349779,0.972764975586
frame_equal,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.236960483411,0.293069865134,0.308083105562,0.410285227872,169.32871668,-0.00891397944206,0.031188574439,0.0412947378039,0.0874117776956,3.0421755806,0.982033906355
frame_equal,frame_equal,top_0_299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.028573575343,0.0474200489518,0.0589310878979,0.104200352616,5.26556535134,0.973954274686
