frame,group,row_index,model,u,v,root_1,root_2,selected_root_index,selected_lambda,Zc,Zg,validity_reason,m0_selected_root_index,m0_selected_lambda,m0_Zg,root_switch_vs_m0,lambda_delta_vs_m0,validity_changed_vs_m0
frame_061303_measure,baseline,65,M3_v_region_equal,2102.411086,2456.0,719.4229692405739,711.6888778715976,1,711.6888778715976,711.6888778715976,0.04592565016309891,valid,1,711.706336960462,0.028469742836819023,0,-0.017459088864370642,0
frame_061303_measure,baseline,66,M3_v_region_equal,2102.447983,2457.0,719.4250425210937,711.6907150700212,1,711.6907150700212,711.6907150700212,0.04345586158274273,valid,1,711.7201587478429,0.014017523043889923,0,-0.02944367782174595,0
frame_061303_measure,baseline,67,M3_v_region_equal,2102.4953,2458.0,719.427759174,711.6931658785811,1,711.6931658785811,711.6931658785811,0.040417795919438504,valid,1,711.7372932280589,-0.00370158799478304,0,-0.04412734947777608,0
frame_061303_measure,baseline,68,M3_v_region_equal,2102.52644,2459.0,719.429477626354,711.6946635796894,1,711.6946635796894,711.6946635796894,0.03826244418814895,valid,1,711.7492834488912,-0.016347615905942803,0,-0.05461986920181516,0
frame_061303_measure,baseline,69,M3_v_region_equal,2102.539548,2460.0,719.4300833667534,711.6950988851034,1,711.6950988851034,711.6950988851034,0.03709102534878639,valid,1,711.7555389769572,-0.02333827467168703,0,-0.06044009185370669,0
frame_061303_measure,baseline,70,M3_v_region_equal,2102.46948,2461.0,719.4255556566928,711.6906344061005,1,711.6906344061005,711.6906344061005,0.04045749369572604,valid,1,711.7353449475222,-0.004245133400559098,0,-0.04471054142175035,0
frame_061303_measure,baseline,71,M3_v_region_equal,2102.475431,2462.0,719.4257201095512,711.6906477027864,1,711.6906477027864,711.6906477027864,0.03967694188452242,valid,1,711.7393221548195,-0.008988946636350192,0,-0.04867445203319676,0
frame_061303_measure,baseline,72,M3_v_region_equal,2102.507673,2463.0,719.4275074890637,711.6922094957652,1,711.6922094957652,711.6922094957652,0.037462278151451756,valid,1,711.7516583855379,-0.021976207072611942,0,-0.05944888977273877,0
frame_061303_measure,baseline,73,M3_v_region_equal,2102.434228,2464.0,719.4227720420565,711.6875454888091,1,711.6875454888091,711.6875454888091,0.04101359253138526,valid,1,711.7303871350008,-0.0018206225886387983,0,-0.04284164619173225,0
frame_061303_measure,baseline,74,M3_v_region_equal,2102.405857,2465.0,719.420818820101,711.6855364124183,1,711.6855364124183,711.6855364124183,0.042106086337525994,valid,1,711.7234475047521,0.004201521041863998,0,-0.037911092333843044,0
frame_061303_measure,baseline,75,M3_v_region_equal,2102.431338,2466.0,719.4221895702296,711.686699307675,1,711.686699307675,711.686699307675,0.0402608968399818,valid,1,711.7336299487462,-0.006661709330160193,0,-0.046930641071185164,0
frame_061303_measure,baseline,76,M3_v_region_equal,2102.474749,2467.0,719.4246672084286,711.6889181907808,1,711.6889181907808,711.6889181907808,0.03743772010170687,valid,1,711.7495130911406,-0.023146857409983568,0,-0.06059490035977433,0
frame_061303_measure,baseline,77,M3_v_region_equal,2102.492382,2468.0,719.4255540536519,711.6896184007542,1,711.6896184007542,711.6896184007542,0.036021063147927634,valid,1,711.7571984553501,-0.0315475466635462,0,-0.06758005459596461,0
frame_061303_measure,baseline,78,M3_v_region_equal,2102.462596,2469.0,719.4235143865318,711.6875251329689,1,711.6875251329689,711.6875251329689,0.03719158675551171,valid,1,711.7498037186122,-0.025076532631942428,0,-0.062278585643298356,0
