variant,mask,model,region,v_bin_lo_px,v_bin_hi_px,point_count,frame_count,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,surface_rmse_mm,ray_rmse_mm
new,new_full_board_physical_inset_0mm,global_plane,v_2300_2400,2300.0,2400.0,390,10,390,1.0,-0.30683725960663116,0.30683725960663116,0.3176762048389684,0.44677607919260226,0.5090727315274535,0.09681187072191146,0.32335516526252533
new,new_full_board_physical_inset_0mm,global_plane,v_2400_2500,2400.0,2500.0,469,10,469,1.0,-0.4056404483056572,0.4056404483056572,0.4145672823015861,0.5719932121726968,0.613348538155492,0.12801311645738928,0.42476020365733147
new,new_full_board_physical_inset_0mm,global_plane,v_2500_2600,2500.0,2600.0,372,10,372,1.0,-0.5352940685177133,0.5352940685177133,0.5458844435822462,0.7309658952226129,0.8265299663848964,0.16830869759991368,0.5648919532660368
new,new_full_board_physical_inset_0mm,global_plane,v_2600_2700,2600.0,2700.0,176,8,176,1.0,-0.7087926252386819,0.7087926252386819,0.7201641193881201,0.934741851025592,1.0002835695405565,0.2211643902124205,0.7504555765335043
new,new_full_board_physical_inset_0mm,global_plane,v_2700_2800,2700.0,2800.0,186,7,186,1.0,-0.9524456012579366,0.9524456012579366,0.9668661727735657,1.209762340133267,1.2472970324433845,0.2924683425457592,0.9798487010761285
new,new_full_board_physical_inset_0mm,global_plane,v_2800_2900,2800.0,2900.0,131,5,131,1.0,-1.115564059295326,1.115564059295326,1.1287990826168608,1.3674160320064743,1.4112190975732801,0.3426290428762305,1.1436360440657085
new,new_full_board_physical_inset_0mm,global_plane,v_2900_3000,2900.0,3000.0,28,1,28,1.0,-1.142076701798203,1.142076701798203,1.14374787794845,1.2325809233791745,1.2418350405255296,0.36357890835430856,1.1589624863062347
new,new_full_board_physical_inset_0mm,quadratic_graph,Global,0.0,3000.0,16200,18,16200,1.0,-0.0010658046842094376,0.06634835261418247,0.08197356395158864,0.15854020867075175,0.3933673594743823,0.02530747858261301,0.08400698163932119
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0000_0100,0.0,100.0,61,4,61,1.0,0.14440321876068232,0.14440321876068232,0.15140515780535657,0.2194942008519547,0.28528080263083666,0.04705454307586771,0.15774594361558536
new,new_full_board_physical_inset_0mm,quadratic_graph,v_0100_0200,100.0,200.0,248,9,248,1.0,0.12876301580596766,0.13338065274734937,0.14600217338705865,0.2153463054239921,0.383258031487685,0.0444232062158935,0.1497024332032037
