split,weighting,region,v_min_px,v_max_px,baseline_sample_count,analysis_sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_energy,explained_fraction
validation,frame_equal,bin_2700_2999,2700,3000,631,631,0,-0.130461871086,0.273245195826,0.286226244277,0.417738645933,52.2838552592,0.00789584995714,0.0402758671515,0.0413334736099,0.0566674862399,1.09031630913,51.1935389501,0.979146214377
validation,frame_equal,extrap_top_v_lt_242,0,241.997693497,567,567,0,0.100584556091,0.130889902052,0.234525985595,0.569041234728,32.498741751,0.0380881012895,0.0380881012895,0.0407056175158,0.0654517260759,0.979023918727,31.5197178323,0.969875020817
validation,frame_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,535,535,0,-0.104474651005,0.273671232815,0.288809353031,0.420699635851,44.9217961182,0.00680883834626,0.0408180982238,0.0419273148431,0.0570403953026,0.946735592102,43.9750605261,0.978924805464
validation,v_region_equal,top_0_299,0,300,684,684,0,0.109456076884,0.141707653062,0.245157187345,0.580964987443,36.355727932,0.0453181583521,0.0453181583521,0.0474070344696,0.0682954778932,1.35946854221,34.9962593898,0.962606482677
validation,v_region_equal,middle_300_2699,300,2700,4734,4734,0,-0.141842087198,0.142109460122,0.156627093515,0.262150334322,118.715479051,0.0250812724187,0.0318980176716,0.0335343551276,0.0442011362901,5.44193675093,113.2735423,0.954159838342
validation,v_region_equal,bottom_2700_2999,2700,3000,631,631,0,-0.13907271731,0.276421912169,0.289514774541,0.41932001252,50.7019949496,0.00629378953251,0.0402744801382,0.0411561627384,0.0538493959748,1.02459760449,49.6773973451,0.979791769426
validation,v_region_equal,bin_0000_0299,0,300,684,684,0,0.109456076884,0.141707653062,0.245157187345,0.580964987443,36.355727932,0.0453181583521,0.0453181583521,0.0474070344696,0.0682954778932,1.35946854221,34.9962593898,0.962606482677
validation,v_region_equal,bin_0300_0599,300,600,531,531,0,-0.117627114682,0.117999181947,0.133035025311,0.23474707326,10.7057125337,0.0390803227205,0.0390803227205,0.0402691350283,0.055957986133,0.980907797413,9.72480473624,0.908375290824
validation,v_region_equal,bin_0600_0899,600,900,542,542,0,-0.250397562924,0.250397562924,0.252824184072,0.313295283626,38.6652491643,0.0349871283003,0.0349871283003,0.0353504925113,0.0423488151004,0.755917713347,37.909331451,0.98044968726
validation,v_region_equal,bin_0900_1199,900,1200,555,555,0,-0.159151022145,0.159151022145,0.167834513297,0.230839411054,17.0390795891,0.0318534726926,0.0318534726926,0.0323634717737,0.0398588242571,0.633568815242,16.4055107738,0.962816723055
validation,v_region_equal,bin_1200_1499,1200,1500,568,568,0,-0.0778115750696,0.0778115750696,0.0855608492019,0.140494190741,4.42826657838,0.0286978248822,0.0286978248822,0.0307367115004,0.040441588092,0.57147651294,3.85679006544,0.870948032864
validation,v_region_equal,bin_1500_1799,1500,1800,585,585,0,-0.125915872522,0.125915872522,0.13111142235,0.17834961956,10.3983550473,0.0244909170762,0.0252860333373,0.0297766838318,0.040632065628,0.53633512942,9.86201991784,0.948421156329
validation,v_region_equal,bin_1800_2099,1800,2100,605,605,0,-0.106198695746,0.106264118427,0.111102825519,0.159419109059,7.46678750841,0.0190657073773,0.0275603941193,0.0297758635586,0.0392551877069,0.536305580443,6.93048192796,0.928174522197
validation,v_region_equal,bin_2100_2399,2100,2400,508,508,0,-0.125014875079,0.126372893625,0.133065899937,0.184049988423,10.7106822508,0.0136946860466,0.0318283519546,0.0322927597362,0.0387954285793,0.63080322825,10.0798790226,0.941105224347
validation,v_region_equal,bin_2400_2699,2400,2700,840,840,0,-0.172619979416,0.172963454317,0.178629017713,0.249180596201,19.3013463786,0.00878012025351,0.0358906133662,0.036289781106,0.0450275566662,0.796621973874,18.5047244047,0.958727129277
validation,v_region_equal,bin_2700_2999,2700,3000,631,631,0,-0.13907271731,0.276421912169,0.289514774541,0.41932001252,50.7019949496,0.00629378953251,0.0402744801382,0.0411561627384,0.0538493959748,1.02459760449,49.6773973451,0.979791769426
validation,v_region_equal,extrap_top_v_lt_242,0,241.997693497,567,567,0,0.136831891592,0.158093453179,0.264763550034,0.59183847635,36.0440713575,0.0451987763961,0.0451987763961,0.0472445389715,0.068624408223,1.14767964797,34.8963917095,0.968158989683
validation,v_region_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,535,535,0,-0.114924252735,0.277467661585,0.292681062626,0.422421954237,43.785426583,0.00519727993074,0.0406998837033,0.0416182737994,0.0539188253891,0.885336694916,42.9000898881,0.979780105756
