weighting,t,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction
frame_equal,0.1875,top_0_299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.216537291491,0.232635370699,0.297301454788,0.575915339665,134.01399658,1.1794689518,1.1794689518,1.19803926061,1.55068228086,2176.19691912,0.962931660307,0.962931660307,0.962953433618,0.974559207139,1405.93959637,-9.76439535039
frame_equal,0.1875,middle_300_2699,300,2700,13979,0,-0.0817058447148,0.108067588184,0.13124657233,0.237046762612,241.346218381,-0.0664236889911,0.0882503929111,0.107252177596,0.192798498142,161.167249948,0.883657584673,0.883657584673,0.88792095797,1.02366435222,11046.2068636,0.950081273664,0.950081273664,0.95008672533,0.955975777644,12647.1030848,-44.7691317381
frame_equal,0.1875,bottom_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.186492299183,0.240397726115,0.250623748549,0.337144034653,127.945376769,0.757321245125,0.757321245125,0.77675112794,1.15604395729,1228.97752255,0.943813544308,0.943813544308,0.943828239553,0.956109668815,1814.53809158,-5.35343066835
frame_equal,0.1875,bin_0000_0299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.216537291491,0.232635370699,0.297301454788,0.575915339665,134.01399658,1.1794689518,1.1794689518,1.19803926061,1.55068228086,2176.19691912,0.962931660307,0.962931660307,0.962953433618,0.974559207139,1405.93959637,-9.76439535039
frame_equal,0.1875,bin_0300_0599,300,600,1900,0,-0.0369420322879,0.122858238065,0.157287159175,0.359171347126,46.6654139634,-0.0297601520143,0.100055468109,0.127993312722,0.293970103527,30.9017549961,0.924291465775,0.924291465775,0.93318486296,1.25697409985,1642.64591044,0.954051617789,0.954051617789,0.954060456612,0.963741454529,1716.96078983,-34.2005001334
frame_equal,0.1875,bin_0600_0899,600,900,1717,0,-0.138964654435,0.163921505043,0.177432511513,0.288902696403,53.9115893633,-0.112826248703,0.132539045073,0.143518512571,0.231490885279,35.2721217546,0.837546227711,0.837546227711,0.842543482733,1.08550627611,1215.62712653,0.950372476414,0.950372476414,0.950377222229,0.958395134282,1546.70601176,-21.5485306757
frame_equal,0.1875,bin_0900_1199,900,1200,1875,0,-0.0936907138625,0.112612971273,0.1379567258,0.254844200208,36.4385387041,-0.076635620584,0.0926768115793,0.113149850155,0.209715974056,24.5122491049,0.874001548877,0.874001548877,0.878181536306,1.00435760159,1476.53517981,0.950637169461,0.950637169461,0.950640237538,0.954163888775,1730.24491049,-39.5212511895
frame_equal,0.1875,bin_1200_1499,1200,1500,1490,0,-0.00932976752532,0.0584703925301,0.0697268717622,0.1209337215,7.16401282581,-0.00764018359307,0.0483251230783,0.0572403100399,0.0979753154048,4.82791868485,0.944399930506,0.944399930506,0.946205619259,1.03822193806,1319.24980206,0.9520401141,0.9520401141,0.952041822623,0.954825776177,1335.57427739,-183.149558933
frame_equal,0.1875,bin_1500_1799,1500,1800,1945,0,-0.0874000261735,0.0955023969594,0.114220452595,0.202463873767,25.6238119742,-0.0704971861541,0.0777293398865,0.0930656774561,0.162763118175,17.0112047383,0.878662651173,0.878662651173,0.880886333414,0.974034282724,1524.03776829,0.949159837327,0.949159837327,0.949161702666,0.952028712231,1769.44227413,-58.4774021063
frame_equal,0.1875,bin_1800_2099,1800,2100,1732,0,-0.075958263494,0.083006489909,0.0998179993596,0.179854957962,17.4203390465,-0.0618161967413,0.0683193564925,0.0824916161498,0.15107800068,11.89757649,0.887141701773,0.887141701773,0.888908997399,0.965818413204,1381.50825793,0.948957898514,0.948957898514,0.948959076247,0.95100276922,1574.4680385,-78.3043266408
