weighting,t,total_points,invalid_count,valid_rate,bounds_ok,axis_norm,max_normalized_parameter_displacement,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,linear_explained_fraction,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction,exact_to_linear_gain_ratio,gap_to_baseline_rmse
frame_equal,0.046875,17564,0,1,True,1,0.734626668261,1.86853160915,0.00989521573407,-120.978803048,1.82081216413,327.139166533,1.55462886487,89.0736726661,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0656008725279,0.138569988196,0.181617179554,0.361630784672,579.345025603,0.0904354586836,-0.00183414655516,0.11541168693,0.169746996881,0.333198606494,506.089850376,0.0637667259728,0.0637667259728,0.0637680008193,0.0644990775929,71.421510656,0.20544517985,2.2717326018,0.334859508477
frame_equal,0.0546875,17564,0,1,True,1,0.857064446305,1.8706685515,0.00987272658249,-121.875318986,1.83396595556,327.156848661,1.55463212984,89.073859735,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0650631582068,0.137445492365,0.180148568994,0.358540069764,570.013395376,0.10508600299,0.0213610921854,0.112841964114,0.169853429152,0.325794602383,506.724691401,0.0864242503922,0.0864242503922,0.0864259716535,0.0874147963894,131.193394793,0.204448487276,1.9455349091,0.453841394049
frame_equal,0.0625,17564,0,1,True,1,0.979502224348,1.87280549386,0.00985023743091,-122.771834924,1.84711974699,327.174530789,1.55463539481,89.074046804,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0645254438857,0.136321071163,0.178680123947,0.35551546884,560.758568691,0.119615966686,0.0478795157017,0.11551366558,0.174008846275,0.336423824889,531.821736213,0.112404959587,0.112404959587,0.112407189803,0.113690664207,221.927749676,0.165046436607,1.3798027235,0.590274367132
frame_equal,0.0703125,17564,0,1,True,1,1.10194000239,1.87494243621,0.00982774827933,-123.668350862,1.86027353843,327.192212917,1.55463865977,89.0742338729,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0639877295645,0.135196773286,0.177211848529,0.35266296023,551.580545547,0.134025349769,0.0776810812949,0.124694908871,0.183365723192,0.361604082817,590.55416899,0.141668810859,0.141668810859,0.141671611059,0.143285959161,352.524328253,0.0728372418824,0.543458696491,0.743948146951
frame_equal,0.078125,17564,0,1,True,1,1.22437778044,1.87707937857,0.00980525912775,-124.5648668,1.87342732986,327.209895045,1.55464192474,89.0744209419,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0634500152434,0.134072680816,0.17574374699,0.34970182039,542.479325943,0.148314152241,0.110726850561,0.141341633152,0.198645661728,0.392431142527,693.077177491,0.174176865805,0.174176865805,0.174180295545,0.176161082344,532.870250355,-0.0881226163729,-0.594161885709,0.914658251839
frame_equal,0.0859375,17564,0,1,True,1,1.34681555848,1.87921632093,0.00978276997617,-125.461382738,1.88658112129,327.227577173,1.55464518971,89.0746080108,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0629123009223,0.132948832036,0.174275823725,0.346644378294,533.454909881,0.162482374102,0.14697895256,0.165808622598,0.220050625625,0.426471821576,850.488887949,0.209891253482,0.209891253482,0.209895370892,0.212277520357,773.800755907,-0.335257059396,-2.06334417041,1.10220580582
frame_equal,0.09375,17564,0,1,True,1,1.46925333652,1.88135326328,0.00976028082459,-126.357898676,1.89973491272,327.245259301,1.55464845468,89.0747950798,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0623745866011,0.13182510499,0.172808083278,0.343543744997,524.50729736,0.17653001535,0.186400548525,0.19669981942,0.247372138352,0.46372993774,1074.79340996,0.248775135126,0.248775135126,0.248779996944,0.251597809404,1087.06207555,-0.687412391128,-3.89402555573,1.3063973533
frame_equal,0.1015625,17564,0,1,True,1,1.59169111457,1.88349020564,0.00973779167302,-127.254414614,1.91288870415,327.262941429,1.55465171965,89.0749821487,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.06183687228,0.130701593875,0.171340530345,0.340529494102,515.636488379,0.190457075988,0.228955797913,0.233235908054,0.280187848682,0.504168125048,1378.86586937,0.290792670193,0.290792670193,0.290798331803,0.294085500743,1485.27629601,-1.16480240027,-6.11582633107,1.52704468076
frame_equal,0.109375,17564,0,1,True,1,1.71412889261,1.88562714799,0.00971530252144,-128.150930552,1.92604249558,327.280623556,1.55465498462,89.0751692176,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0612991579589,0.129578302547,0.169873169787,0.337492175132,506.842482939,0.204263556013,0.274609825819,0.275655437127,0.31802483,0.548190724347,1776.41931541,0.335908983778,0.335908983778,0.33591549925,0.339705127515,1981.90810638,-1.78895640491,-8.75807921799,1.76396464564
frame_equal,0.1171875,17564,0,1,True,1,1.83656667065,1.88776409035,0.00969281336986,-129.04744649,1.93919628701,327.298305684,1.55465824959,89.0753562866,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0607614436378,0.128455401556,0.168406006633,0.334505682157,498.125281041,0.217949455428,0.32332869168,0.323467065485,0.360448791865,0.595312674074,2281.97339547,0.384090135317,0.384090135317,0.384097557439,0.38842217294,2591.23331829,-2.58267007227,-11.849857882,2.01697901203
