v_px,fit_sample_count,fit_residual_median_mm,fit_residual_mean_mm,fit_residual_std_mm,fit_residual_mad_mm,fit_residual_p95_abs_mm,fit_positive_fraction,fit_sign_consistency,validation_sample_count,validation_residual_median_mm,validation_residual_mean_mm,validation_residual_std_mm,validation_residual_mad_mm,validation_residual_p95_abs_mm,validation_positive_fraction,validation_sign_consistency
846,5,-0.183021149,-0.112315661,0.191292282,0.109987471,0.278519747,0.200000000,0.800000000,2,-0.264112522,-0.264112522,0.007156589,0.005060472,0.268666948,0.000000000,1.000000000
847,5,-0.170576720,-0.108098599,0.191011941,0.102102310,0.276798671,0.200000000,0.800000000,2,-0.263671334,-0.263671334,0.002329570,0.001647255,0.265153863,0.000000000,1.000000000
848,5,-0.159806823,-0.104243627,0.186783124,0.080211245,0.278229780,0.200000000,0.800000000,2,-0.252225237,-0.252225237,0.018594803,0.013148511,0.264058898,0.000000000,1.000000000
849,5,-0.149513047,-0.103317098,0.182392619,0.059266169,0.280226192,0.200000000,0.800000000,2,-0.248398711,-0.248398711,0.031080114,0.021976960,0.268177974,0.000000000,1.000000000
850,5,-0.144092098,-0.106267797,0.179053189,0.042011552,0.280413079,0.200000000,0.800000000,2,-0.249219718,-0.249219718,0.026916160,0.019032599,0.266349058,0.000000000,1.000000000
851,5,-0.145485097,-0.112650154,0.176663828,0.034356223,0.280377248,0.200000000,0.800000000,2,-0.251491469,-0.251491469,0.013358799,0.009446097,0.259992957,0.000000000,1.000000000
852,5,-0.149910266,-0.118162040,0.173952391,0.036984015,0.281907948,0.200000000,0.800000000,2,-0.258123275,-0.258123275,0.001991961,0.001408529,0.259390951,0.000000000,1.000000000
853,5,-0.148614388,-0.120741142,0.173219008,0.053796249,0.281581317,0.200000000,0.800000000,2,-0.264136962,-0.264136962,0.012502922,0.008840901,0.272093773,0.000000000,1.000000000
854,5,-0.148711082,-0.123658011,0.176423046,0.070263999,0.282576916,0.200000000,0.800000000,2,-0.262120243,-0.262120243,0.009708242,0.006864764,0.268298530,0.000000000,1.000000000
855,5,-0.160357923,-0.126964397,0.183835571,0.063431619,0.288048892,0.200000000,0.800000000,2,-0.258529002,-0.258529002,0.001705936,0.001206279,0.259614653,0.000000000,1.000000000
856,5,-0.180959041,-0.130205458,0.193439907,0.051068424,0.298511076,0.200000000,0.800000000,2,-0.258929488,-0.258929488,0.002725273,0.001927059,0.260663841,0.000000000,1.000000000
857,5,-0.198392297,-0.136346596,0.198712010,0.051828343,0.307251918,0.200000000,0.800000000,2,-0.263482312,-0.263482312,0.002708321,0.001915072,0.265205877,0.000000000,1.000000000
858,5,-0.192808375,-0.147744222,0.195062674,0.014952123,0.311310734,0.200000000,0.800000000,2,-0.266319036,-0.266319036,0.018570661,0.013131441,0.278137332,0.000000000,1.000000000
859,5,-0.202146486,-0.155514906,0.182980244,0.006625010,0.304673206,0.200000000,0.800000000,2,-0.262400659,-0.262400659,0.032720379,0.023136802,0.283223781,0.000000000,1.000000000
860,5,-0.201330253,-0.158993441,0.173968405,0.024469638,0.295112320,0.200000000,0.800000000,3,-0.276764753,-0.265685652,0.030413164,0.012241366,0.287781983,0.000000000,1.000000000
861,5,-0.204831111,-0.152345920,0.177225340,0.037698828,0.280196153,0.200000000,0.800000000,2,-0.248983362,-0.248983362,0.020099342,0.014212381,0.261774505,0.000000000,1.000000000
862,5,-0.201856675,-0.141737157,0.190296043,0.046536575,0.272478587,0.200000000,0.800000000,2,-0.256003260,-0.256003260,0.007357282,0.005202384,0.260685405,0.000000000,1.000000000
863,5,-0.191208235,-0.134425038,0.192782555,0.042186858,0.274195437,0.200000000,0.800000000,2,-0.272093357,-0.272093357,0.004688427,0.003315219,0.275077053,0.000000000,1.000000000
864,5,-0.178548259,-0.130155544,0.191623746,0.037821060,0.281447816,0.200000000,0.800000000,2,-0.280050539,-0.280050539,0.010148027,0.007175738,0.286508703,0.000000000,1.000000000
865,5,-0.173546813,-0.129474738,0.190839312,0.035823522,0.287871388,0.200000000,0.800000000,2,-0.272750199,-0.272750199,0.007109632,0.005027269,0.277274741,0.000000000,1.000000000
866,5,-0.181750621,-0.136148545,0.185893093,0.034426812,0.291257362,0.200000000,0.800000000,2,-0.262843014,-0.262843014,0.001722592,0.001218056,0.263939265,0.000000000,1.000000000
867,5,-0.195545067,-0.147588257,0.180749486,0.037195161,0.293998354,0.200000000,0.800000000,2,-0.257355535,-0.257355535,0.004146984,0.002932361,0.259994659,0.000000000,1.000000000
868,5,-0.203546519,-0.157126223,0.178628875,0.046563849,0.296781418,0.200000000,0.800000000,2,-0.256528834,-0.256528834,0.003426381,0.002422817,0.258709370,0.000000000,1.000000000
869,5,-0.206028358,-0.162427504,0.177376627,0.052119490,0.298669175,0.200000000,0.800000000,2,-0.256072668,-0.256072668,0.008811661,0.006230786,0.261680375,0.000000000,1.000000000
870,5,-0.210398566,-0.162856935,0.179609806,0.039489157,0.300262730,0.200000000,0.800000000,2,-0.252489906,-0.252489906,0.025286740,0.017880425,0.268582289,0.000000000,1.000000000
871,5,-0.217603643,-0.156155158,0.190526339,0.031831316,0.301603040,0.200000000,0.800000000,3,-0.270146631,-0.260638738,0.033476175,0.018185875,0.286513919,0.000000000,1.000000000
872,5,-0.213737680,-0.143968447,0.204444198,0.047305697,0.304119386,0.200000000,0.800000000,2,-0.238831277,-0.238831277,0.026526987,0.018757412,0.255712949,0.000000000,1.000000000
873,5,-0.204043611,-0.131335887,0.217905550,0.050900211,0.307902545,0.200000000,0.800000000,2,-0.230930563,-0.230930563,0.011545956,0.008164224,0.238278364,0.000000000,1.000000000
874,5,-0.201298575,-0.114893506,0.225166175,0.070740502,0.302796027,0.200000000,0.800000000,2,-0.227067355,-0.227067355,0.003660367,0.002588270,0.229396798,0.000000000,1.000000000
875,5,-0.184062476,-0.102166262,0.227352747,0.058886012,0.291797157,0.200000000,0.800000000,2,-0.228844899,-0.228844899,0.012776067,0.009034044,0.236975538,0.000000000,1.000000000
876,5,-0.168928865,-0.094864808,0.228553319,0.039447830,0.297490660,0.200000000,0.800000000,2,-0.232273111,-0.232273111,0.008713730,0.006161538,0.237818495,0.000000000,1.000000000
877,5,-0.160671899,-0.093724082,0.229756147,0.036028925,0.300754877,0.200000000,0.800000000,2,-0.231328803,-0.231328803,0.006140705,0.004342134,0.235236724,0.000000000,1.000000000
878,5,-0.162047582,-0.098596342,0.224587823,0.032976052,0.290228350,0.200000000,0.800000000,2,-0.226511620,-0.226511620,0.018821913,0.013309102,0.238489812,0.000000000,1.000000000
879,5,-0.170955096,-0.104125077,0.212448461,0.018298970,0.271415735,0.200000000,0.800000000,2,-0.220411629,-0.220411629,0.018113163,0.012807940,0.231938775,0.000000000,1.000000000
880,5,-0.163638351,-0.109608176,0.198611474,0.019035115,0.267418953,0.200000000,0.800000000,2,-0.215236808,-0.215236808,0.003789075,0.002679281,0.217648160,0.000000000,1.000000000
881,5,-0.177528492,-0.120454307,0.185591998,0.032792985,0.268952394,0.200000000,0.800000000,2,-0.208305045,-0.208305045,0.008675980,0.006134844,0.213826405,0.000000000,1.000000000
882,5,-0.174865357,-0.139207032,0.176420021,0.065884478,0.293889197,0.200000000,0.800000000,2,-0.199351472,-0.199351472,0.007554117,0.005341567,0.204158882,0.000000000,1.000000000
883,5,-0.169601491,-0.152382978,0.176733062,0.114696512,0.314462371,0.200000000,0.800000000,2,-0.194275659,-0.194275659,0.006508488,0.004602196,0.198417636,0.000000000,1.000000000
884,5,-0.106151878,-0.111725836,0.165082116,0.079268185,0.291365703,0.200000000,0.800000000,2,-0.199009346,-0.199009346,0.019779162,0.013985980,0.211596727,0.000000000,1.000000000
885,4,-0.147069376,-0.106551330,0.199867231,0.094261495,0.283501518,0.250000000,0.750000000,3,-0.225008790,-0.218162956,0.018069039,0.006799966,0.231128760,0.000000000,1.000000000
886,4,-0.154828924,-0.096272533,0.214949747,0.078950223,0.274883700,0.250000000,0.750000000,2,-0.226912673,-0.226912673,0.009935925,0.007025760,0.233235857,0.000000000,1.000000000
887,4,-0.159466164,-0.088133326,0.227775781,0.068422875,0.271062372,0.250000000,0.750000000,2,-0.237232523,-0.237232523,0.000520200,0.000367837,0.237563577,0.000000000,1.000000000
888,4,-0.159074897,-0.085979617,0.224510878,0.064117779,0.262994705,0.250000000,0.750000000,2,-0.233143119,-0.233143119,0.007096024,0.005017647,0.237659001,0.000000000,1.000000000
889,4,-0.156252618,-0.087305714,0.209341959,0.062234272,0.248463495,0.250000000,0.750000000,2,-0.216450309,-0.216450309,0.007350757,0.005197770,0.221128302,0.000000000,1.000000000
890,4,-0.154101277,-0.088526043,0.192545784,0.058601070,0.230161520,0.250000000,0.750000000,2,-0.193700586,-0.193700586,0.003158462,0.002233370,0.195710619,0.000000000,1.000000000
891,4,-0.155403857,-0.089059607,0.181918136,0.051197063,0.217041725,0.250000000,0.750000000,2,-0.196969509,-0.196969509,0.002502691,0.001769670,0.198562212,0.000000000,1.000000000
