bin_width_px,v_start_px,v_end_px,v_center_px,model,point_count,unique_frame_count,u_ref_px,u_span_px,residual_span_mm,status,b_mm,delta_g_mm_per_px,b_p05_mm,b_p50_mm,b_p95_mm,delta_g_p05_mm_per_px,delta_g_p50_mm_per_px,delta_g_p95_mm_per_px,bootstrap_count,weighted_rmse_mm,weighted_r2,fit_mae_mm,fit_rmse_mm,fit_p95_mm
30,390,420,405.0,M0,176,14,2049.0757604982537,294.7133233562356,0.3245403482103484,ok,0.07596081704046956,3.642473545653566e-05,0.05223889704395717,0.07706667984096419,0.09795049057273442,-0.00020706898747564455,3.4561100998163856e-05,0.0003096545530990155,1000,0.061240150503250705,0.0033780272322352367,0.048881674325277985,0.06141324714166419,0.1222322513444671
30,390,420,405.0,M_local_fullfit,176,14,2049.0757604982537,294.7133233562356,0.3256675334494048,ok,0.09264422304472207,6.677657611428409e-06,0.06855685227958963,0.09334597251882942,0.11549733237823033,-0.00026336909906702553,4.973679026789547e-06,0.0002332677987838102,1000,0.061281633296100625,0.00011374978962808147,0.04895221735364796,0.06146102510964985,0.12236946320443831
30,420,450,435.0,M0,187,14,2047.6013621781271,287.2332215394988,0.6238988583495484,ok,0.03609387801217872,0.0005580571123098536,0.00372166634202341,0.03805149998653512,0.06811346071520666,-9.971333699020034e-05,0.0005589093188676222,0.0012185367276130996,1000,0.10326244132954362,0.212809332651259,0.07451564383689234,0.10539619705273245,0.18589468953612706
30,420,450,435.0,M_local_fullfit,187,14,2047.6013621781271,287.2332215394988,0.6226013951120422,ok,0.05173920092626747,0.0005269635829811266,0.019857474641561103,0.054350795741187924,0.08285990987154832,-0.00014374573369202055,0.0004860282528522065,0.001129961389884105,1000,0.10345286675817188,0.19365735325730826,0.07471376262062075,0.1056132823794775,0.18653586378932605
30,450,480,465.0,M0,234,15,2043.099408365233,283.90217180258696,0.42197758076304126,ok,0.028477190492735706,0.00010489168050366402,0.0033527462075155124,0.029307134369378395,0.05236951780976012,-0.00021276238742352205,0.00010573710815556242,0.00035456395734228613,1000,0.06814965125143192,0.020639524380608898,0.04486146458080106,0.06288400368007772,0.1416166322303941
30,450,480,465.0,M_local_fullfit,234,15,2043.099408365233,283.90217180258696,0.42115223867210716,ok,0.04323136472005024,7.225712761398705e-05,0.018313821016923675,0.04573940450897726,0.06758518676267106,-0.00024609403166145127,7.49093661232734e-05,0.0003227016182867912,1000,0.06823524703504556,0.00987723072886082,0.04494761851702909,0.06299299422536325,0.14176400973571798
30,480,510,495.0,M0,246,15,2042.6071698308094,281.4469676227377,0.2537703964416096,ok,0.025661681648131623,-5.095765684379533e-05,0.00830252653676912,0.026029738410694468,0.04075362044914373,-0.00025884513476084247,-4.9285738028353776e-05,0.0002005603266438017,1000,0.05069814170054937,0.008750226061366995,0.03610604004060744,0.04851388616720107,0.10174446566188028
30,480,510,495.0,M_local_fullfit,246,15,2042.6071698308094,281.4469676227377,0.25259589706479346,ok,0.039426465753549494,-8.57838282723536e-05,0.022860633208903653,0.039257574116874035,0.053137336729559365,-0.00028604759777667467,-7.524871834849574e-05,0.000146851343585233,1000,0.05073642980463072,0.02437011006965173,0.03618293043671733,0.04856466803659483,0.10222683872013436
30,510,540,525.0,M0,290,18,2016.3653983512745,295.80382585639677,0.41409583789811677,ok,0.00804071405220828,2.1915748578985406e-07,-0.010797759991122268,0.00875461912026359,0.027935006502025354,-0.00023719255838956506,-2.237353440298296e-06,0.00023134494034902692,1000,0.06049286962089678,1.1830680790581027e-07,0.038584874680777856,0.05358183564789528,0.10918550564230198
30,510,540,525.0,M_local_fullfit,290,18,2016.3653983512745,295.80382585639677,0.42027437500269116,ok,0.021744019749629955,-3.463546807879718e-05,0.0008899351023063282,0.022644351587166045,0.04231496671203023,-0.0002895366871409718,-3.488766558386643e-05,0.0001901472643045111,1000,0.06055362292691986,0.0029402792087188656,0.038634012897442,0.053602479304254345,0.10953594428083999
30,540,570,555.0,M0,327,21,2037.4436024011195,292.47034142086727,0.5913720521417645,ok,-0.012036110378367165,-9.927117796207569e-05,-0.030150401413308613,-0.012351928012936702,0.004910031253955275,-0.00025284778114164285,-9.577154353104992e-05,6.233977852991823e-05,1000,0.05776190182113,0.024021015447188154,0.03608878616762721,0.05228820574122089,0.0965485001727183
30,540,570,555.0,M_local_fullfit,327,21,2037.4436024011195,292.47034142086727,0.5902221112793313,ok,-4.0141403846225525e-05,-0.0001358725678430992,-0.017840222412396498,-0.0003702690265366479,0.016579912494845923,-0.0002978627467939481,-0.0001335546410036632,2.098762938605117e-05,1000,0.05777960848623853,0.04404914242380864,0.03612464927093225,0.05231687179382517,0.09651976590505107
30,570,600,585.0,M0,341,22,2037.1865654020976,288.3280721826211,0.2472675130065909,ok,-0.028516598014471553,-0.000251868787191516,-0.04296451793763967,-0.029130318384332124,-0.013154333906982871,-0.0004114656888703139,-0.00024820218856121503,-8.877386351889675e-05,1000,0.04707525291617438,0.19441776855242532,0.03706038008842422,0.04708767842098687,0.09341787082576891
30,570,600,585.0,M_local_fullfit,341,22,2037.1865654020976,288.3280721826211,0.2562579623876218,ok,-0.01742887518099699,-0.0002902667136368842,-0.03325342198184526,-0.017585683943398118,-0.0015527103315963037,-0.0004399588655555959,-0.0002964776272782285,-0.0001189783758483305,1000,0.047135904285338245,0.24225661167181956,0.03712284812911864,0.047121729177394295,0.09361675788607404
30,600,630,615.0,M0,357,21,2040.7952414939834,285.03755548710683,0.2823165129324252,ok,-0.03826756715503622,-0.00012577060562242874,-0.054060954278565165,-0.03794967146679172,-0.023054659719747437,-0.00030160534742241395,-0.00011857525294803423,7.169714939850317e-05,1000,0.04680256507374994,0.05152915038680661,0.03485205355881622,0.04597319904068844,0.09101419837612358
30,600,630,615.0,M_local_fullfit,357,21,2040.7952414939834,285.03755548710683,0.2920026279210788,ok,-0.02814613448065519,-0.00016510194655537978,-0.04527167142838069,-0.02755164995285392,-0.012221587541533923,-0.000321890993664421,-0.00016221193374277342,3.152125066234759e-05,1000,0.04677178658572728,0.08570980953326546,0.034853929233863906,0.045947584945053625,0.09122896258877582
30,630,660,645.0,M0,367,23,2042.1343665896609,281.0951742716727,0.5663107295233658,ok,-0.06479980494961608,-0.00020218773099227167,-0.08195853315351909,-0.06533649506462452,-0.049467043836524,-0.00041506870199644377,-0.00020087060834542744,1.565954186714653e-05,1000,0.05578412080906502,0.09086874552837754,0.040426715127001495,0.05297484599836449,0.09780995598836816
30,630,660,645.0,M_local_fullfit,367,23,2042.1343665896609,281.0951742716727,0.5771963626729075,ok,-0.055587640114735264,-0.00024225475772692817,-0.07271251407145703,-0.054947139847193405,-0.03995453836798866,-0.0004516145162284226,-0.0002510878560739732,-3.384599285887096e-05,1000,0.05583038016745937,0.12530278814015494,0.04044262553432051,0.05299457975294379,0.0980234855895121
30,660,690,675.0,M0,366,25,2039.8593032274207,276.66661745038505,0.456539550742491,ok,-0.07849084764062618,-6.603709383628876e-06,-0.10196691365888529,-0.07820112448401229,-0.05933885776251046,-0.00021781128595877027,-3.4763099034657734e-06,0.0002892278119246487,1000,0.07116303724687058,6.754379610551808e-05,0.04780996197013507,0.0629539600953737,0.11055160939389791
30,660,690,675.0,M_local_fullfit,366,25,2039.8593032274207,276.66661745038505,0.45795168125391683,ok,-0.07000563721936809,-4.703426252941527e-05,-0.09100336279871402,-0.07007189759815419,-0.048949268819161264,-0.0002580260483178695,-4.369656768032907e-05,0.00022391278603038699,1000,0.07116162952273426,0.0034150657747042956,0.04780630542558627,0.06295849949055507,0.1105468813743662
30,690,720,705.0,M0,369,25,2037.8379148510085,272.6762984015861,0.3057268811006679,ok,-0.08909864536020998,-4.407392568235279e-05,-0.10643264523839821,-0.08951911459158302,-0.07386290863894643,-0.00022198559968577108,-5.5396005762668896e-05,0.00015149232400757688,1000,0.055435594978291446,0.004837230032941675,0.04377059898340137,0.055551068957420596,0.11025786280406366
30,690,720,705.0,M_local_fullfit,369,25,2037.8379148510085,272.6762984015861,0.30412358421801855,ok,-0.08127351330370389,-8.518887805867487e-05,-0.09806352199577731,-0.08125177397802216,-0.06623996055867148,-0.00026891407687615977,-8.218869156643841e-05,0.00016193222842803928,1000,0.0554044452175602,0.01785535970357821,0.043753479060123515,0.05551402789999148,0.11033693304243908
30,720,750,735.0,M0,304,24,2037.6155940910598,254.4543698329196,0.37464173377907173,ok,-0.10122143786770803,-0.00010064577997277819,-0.12084962520799697,-0.1013489883232071,-0.08395481667279632,-0.0003637232516165413,-8.893533144513333e-05,0.00017540133444981747,1000,0.06390689557605662,0.016474836720145603,0.04470177956195878,0.059716360352994984,0.1263204451722529
30,720,750,735.0,M_local_fullfit,304,24,2037.6155940910598,254.4543698329196,0.38115255140871795,ok,-0.09412080640009352,-0.00014251168756356964,-0.11294639123902175,-0.09415887687824814,-0.07656974515737192,-0.00041863342668184737,-0.00013963910465854447,0.00015982533428528676,1000,0.06388562018585553,0.03251464966829587,0.044633693634003234,0.05967834522176471,0.12640419948578285
30,750,780,765.0,M0,311,26,2024.251675399601,294.9397461974909,0.5404046318502651,ok,-0.10576475919138346,4.1525907598294154e-05,-0.1269331361181408,-0.10506649465317239,-0.08244511159373441,-0.0003719560101427004,3.8645966046137176e-05,0.0003815756558029167,1000,0.08650199208651034,0.0019016397251311323,0.04852692884341513,0.06659524517237086,0.13270416539795982
30,750,780,765.0,M_local_fullfit,311,26,2024.251675399601,294.9397461974909,0.5391146092972576,ok,-0.09885176880161615,6.38805799204343e-07,-0.11938691692171248,-0.09968689327057384,-0.0762709188776891,-0.0003917268237586153,1.2147714436712363e-05,0.0003498894124009335,1000,0.08650503171555468,4.508412193571232e-07,0.04852083509440716,0.06659109962357765,0.132879445440294
30,780,810,795.0,M0,331,26,2021.3389659989516,291.8409216786006,0.3211272373318934,ok,-0.10236582816459285,-0.00013367115480300546,-0.1201509695220445,-0.10233869462659974,-0.08516067579726119,-0.00033830547323977604,-0.00012132686317563177,5.58894278218297e-05,1000,0.06175867924561805,0.03659777309847423,0.0429837005435704,0.05457814021899195,0.1189676716874079
30,780,810,795.0,M_local_fullfit,331,26,2021.3389659989516,291.8409216786006,0.3238138379290376,ok,-0.09599149851506823,-0.0001749700952986739,-0.11231772294362735,-0.09612997289367574,-0.07851988025660181,-0.00038280778487670495,-0.00017026948869823354,-2.744070812501149e-06,1000,0.061738610774401,0.06114752989594441,0.04293642382980165,0.05452983966540507,0.11870332779930659
30,810,840,825.0,M0,342,26,2018.4316506869577,288.64715088676576,0.43038647098762794,ok,-0.08955197135022665,-5.978836479860232e-05,-0.10771125479839486,-0.08936284846997988,-0.06988312105334392,-0.00028255983240724013,-5.876307311332458e-05,0.00019097681767312613,1000,0.07403545469978089,0.005124062240053129,0.05155404965643776,0.06917815301768175,0.14759812955811927
30,810,840,825.0,M_local_fullfit,342,26,2018.4316506869577,288.64715088676576,0.43329255137689415,ok,-0.08370805591269835,-0.0001010761460517614,-0.10198748264775426,-0.08360055121263502,-0.06484579703198458,-0.0003142651736080764,-0.00011066779075201991,0.00011568803738326446,1000,0.07399884962287977,0.014520666367358381,0.051493858391349616,0.06911748243189215,0.14788023856098836
30,840,870,855.0,M0,364,27,2027.9814461094531,283.83438454677685,0.38026760119748815,ok,-0.09884453585190947,-0.00010792355738186717,-0.1149951212414262,-0.09791969634719508,-0.08142710265747807,-0.0003941489334110536,-0.0001078646983819784,0.00013542028829116194,1000,0.06473741947630295,0.020949166175137535,0.05399678500543156,0.07043250186920834,0.15212360393103794
30,840,870,855.0,M_local_fullfit,364,27,2027.9814461094531,283.83438454677685,0.379064553653393,ok,-0.09400248938376113,-0.0001490884574572007,-0.11112862479252648,-0.09378987557810836,-0.07749571407922243,-0.0004196449590817029,-0.00013609868084997045,9.625602287260234e-05,1000,0.06476913019382084,0.03919467588990211,0.053999392738949555,0.07041994818658004,0.15218226265701812
