u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2126.515445,602.000000,5.474680,-88.431078,713.424831,5.485205,88.436968,-0.112205
2126.493030,603.000000,5.472462,-88.333491,713.422010,5.482899,88.339361,-0.110285
2126.470590,604.000000,5.470242,-88.235904,713.419181,5.480590,88.241754,-0.108355
2126.435620,605.000000,5.466774,-88.137823,713.412348,5.476855,88.143620,-0.102487
2126.394698,606.000000,5.462713,-88.039509,713.403613,5.472443,88.045238,-0.094747
2126.342692,607.000000,5.457548,-87.940761,713.391338,5.466770,87.946393,-0.083523
2126.330338,608.000000,5.456332,-87.843577,713.391725,5.465609,87.849216,-0.084759
2126.378894,609.000000,5.461183,-87.748787,713.411564,5.471377,87.754591,-0.105135
2126.427845,610.000000,5.466073,-87.654008,713.431529,5.477191,87.659978,-0.125636
2126.426347,611.000000,5.465939,-87.557244,713.435380,5.477265,87.563249,-0.130280
2126.378157,612.000000,5.461154,-87.458651,713.424317,5.472026,87.464569,-0.120248
2126.338072,613.000000,5.457176,-87.360378,713.415841,5.467709,87.366230,-0.112763
2126.325991,614.000000,5.455988,-87.263202,713.416308,5.466578,87.269061,-0.114077
2126.324281,615.000000,5.455832,-87.166431,713.420087,5.466627,87.172324,-0.118650
2126.323115,616.000000,5.455731,-87.069681,713.424038,5.466738,87.075609,-0.123393
2126.322391,617.000000,5.455674,-86.972946,713.428130,5.466900,86.978912,-0.128274
2126.311911,618.000000,5.454645,-86.875832,713.429104,5.465951,86.881808,-0.130087
2126.273408,619.000000,5.450825,-86.777628,713.421126,5.461814,86.783542,-0.123092
2126.210558,620.000000,5.444581,-86.678481,713.405372,5.454907,86.684270,-0.108444
2126.155822,621.000000,5.439145,-86.579653,713.392209,5.448923,86.585338,-0.096346
2126.133272,622.000000,5.436914,-86.482076,713.389324,5.446601,86.487740,-0.094362
2126.120546,623.000000,5.435662,-86.384880,713.389575,5.445397,86.390550,-0.095463
2126.104130,624.000000,5.434042,-86.287541,713.388647,5.443773,86.293207,-0.095404
2126.101539,625.000000,5.433798,-86.190737,713.392132,5.443721,86.196434,-0.099689
2126.117632,626.000000,5.435416,-86.094652,713.401583,5.445795,86.100430,-0.109843
2126.121309,627.000000,5.435797,-85.998087,713.407068,5.446457,86.003912,-0.116095
2126.112496,628.000000,5.434934,-85.901040,713.408563,5.445697,85.906881,-0.118420
2126.093860,629.000000,5.433093,-85.803615,713.406920,5.443820,85.809446,-0.117658
2126.062992,630.000000,5.430034,-85.705721,713.401369,5.440552,85.711510,-0.113050
2126.027268,631.000000,5.426491,-85.607643,713.394266,5.436731,85.613377,-0.106915
2126.000496,632.000000,5.423841,-85.509909,713.390021,5.433928,85.515612,-0.103592
2125.992331,633.000000,5.423042,-85.412889,713.391717,5.433242,85.418609,-0.106116
2125.990970,634.000000,5.422922,-85.316129,713.395585,5.433330,85.321883,-0.110776
2125.996447,635.000000,5.423482,-85.219628,713.401635,5.434196,85.225435,-0.117584
2126.021657,636.000000,5.426007,-85.123879,713.413986,5.437307,85.129790,-0.130592
2126.056959,637.000000,5.429537,-85.028510,713.429560,5.441566,85.034553,-0.146771
2126.061505,638.000000,5.430004,-84.931968,713.435310,5.442326,84.938061,-0.153283
2126.019180,639.000000,5.425805,-84.833643,713.426089,5.437753,84.839664,-0.145064
2125.963070,640.000000,5.420232,-84.734798,713.412465,5.431613,84.740711,-0.132512
