config_id,method,roi_id,roi_label,height_mm,trim_px,x_start,x_end,frame_count,detected_frame_fraction,detected_event_fraction,valid_column_fraction,y_median_px,sigma_pixel_p50_px,sigma_pixel_p95_px,delta_y_median_px,sensitivity_px_per_mm,roi_trim_relative_change_vs_trim0,background_false_detection_rate,center_shift_px,sensitivity_relative_change,sigma_pixel_p95_ratio
B12p5_A20,centroid,h030,H30,30.0,4,1840,1858,50,1.0,1.0,1.0,1883.35178125,0.039717034105916725,0.05466495547027705,-24.5070623301699,0.81690207767233,0.0005012637644816705,0.0,-0.049613696311098465,0.002204273263654339,2.8632617442314374
B12p5_A20,steger,h030,H30,30.0,4,1840,1858,50,1.0,1.0,1.0,1883.4600072205067,0.01784754281005197,0.019091847114714386,-24.56120193090942,0.818706731030314,0.0028265918083874475,,,,
B05_A15,centroid,h001,H1,1.0,0,1823,1851,50,1.0,1.0,1.0,1354.726079721655,0.038581779725886556,0.05321758913590769,-1.2646783565644455,1.2646783565644455,0.0,0.0,,,
B05_A15,steger,h001,H1,1.0,0,1823,1851,50,0.0,0.0,0.0,,,,,,,,,,
B05_A15,centroid,h001,H1,1.0,2,1825,1849,50,1.0,1.0,1.0,1354.7222222222222,0.038581779725886556,0.053325152501817484,-1.3193294665459234,1.3193294665459234,0.04321344608912268,0.0,,,
B05_A15,steger,h001,H1,1.0,2,1825,1849,50,0.0,0.0,0.0,,,,,,,,,,
B05_A15,centroid,h001,H1,1.0,3,1826,1848,50,1.0,1.0,1.0,1354.7222222222222,0.038499672045076413,0.053378934184772374,-1.3193294665459234,1.3193294665459234,0.04321344608912268,0.0,,,
B05_A15,steger,h001,H1,1.0,3,1826,1848,50,0.0,0.0,0.0,,,,,,,,,,
B05_A15,centroid,h001,H1,1.0,4,1827,1847,50,1.0,1.0,1.0,1354.7222222222222,0.03803919338465325,0.05289489903817833,-1.3193294665459234,1.3193294665459234,0.04321344608912268,0.0,,,
B05_A15,steger,h001,H1,1.0,4,1827,1847,50,0.0,0.0,0.0,,,,,,,,,,
B05_A15,centroid,h010,H10,10.0,0,1879,1923,50,1.0,0.9777777777777777,0.9777777777777777,1343.5825328625772,0.047973183017451196,0.07738587052651581,-11.835503226826177,1.1835503226826176,0.0,0.0,-0.0024694498665667197,0.0034033448997789753,3.028937060058157
B05_A15,steger,h010,H10,10.0,0,1879,1923,50,1.0,0.9933333333333333,0.9777777777777777,1343.6077110096812,0.022150109181226355,0.025548853935258055,-11.875921082271702,1.1875921082271703,0.0,,,,
B05_A15,centroid,h010,H10,10.0,2,1881,1921,50,1.0,1.0,1.0,1343.5829288025889,0.048111735074345345,0.07796718907870394,-11.833606669064693,1.1833606669064693,0.00016024310290279554,0.0,0.016090573633391614,0.0027885725217662335,3.1852705643042163
B05_A15,steger,h010,H10,10.0,2,1881,1921,50,1.0,1.0,1.0,1343.5905376672745,0.021938047958715606,0.02447741487095145,-11.866697816519945,1.1866697816519944,0.0007766358236858977,,,,
B05_A15,centroid,h010,H10,10.0,3,1882,1920,50,1.0,1.0,1.0,1343.5821369225655,0.048111735074345345,0.07830234652924425,-11.83739978458766,1.183739978458766,0.00016024310290298316,0.0,-0.021029473366525053,0.002463895339008875,3.207621684146441
B05_A15,steger,h010,H10,10.0,3,1882,1920,50,1.0,1.0,1.0,1343.5905376672745,0.021904360200854987,0.02441134093719683,-11.866637938494023,1.1866637938494022,0.0007816777926841075,,,,
B05_A15,centroid,h010,H10,10.0,4,1883,1919,50,1.0,1.0,1.0,1343.5416666666665,0.04892841256337296,0.07863750397978453,-11.83739978458766,1.183739978458766,0.00016024310290298316,0.0,-0.021029473366525053,0.002468928794284855,3.2373874323025844
B05_A15,steger,h010,H10,10.0,4,1883,1919,50,1.0,1.0,1.0,1343.5905376672745,0.02087305195486824,0.024290421095461468,-11.866697816519945,1.1866697816519944,0.0007766358236858977,,,,
B05_A15,centroid,h030,H30,30.0,0,1949,1983,50,1.0,1.0,1.0,1318.9844951923078,0.05267178483364072,0.06992937464343962,-35.93259338818439,1.1977531129394796,0.0,0.0,-0.01599378356786474,0.001643096522189898,2.063533288858179
B05_A15,steger,h030,H30,30.0,0,1949,1983,50,1.0,1.0,1.0,1318.9618985373527,0.02118215526717591,0.03388817375567217,-35.99173127667268,1.1997243758890894,0.0,,,,
B05_A15,centroid,h030,H30,30.0,2,1951,1981,50,1.0,1.0,1.0,1318.9844951923078,0.053514143219398826,0.07087812038137944,-35.93259338818439,1.1977531129394796,0.0,0.0,-0.01599378356786474,0.001643096522189898,2.0641601598681447
B05_A15,steger,h030,H30,30.0,2,1951,1981,50,1.0,1.0,1.0,1318.960482062772,0.022044542769513124,0.0343375101212626,-35.99173127667268,1.1997243758890894,0.0,,,,
B05_A15,centroid,h030,H30,30.0,3,1952,1980,50,1.0,1.0,1.0,1318.9770992366412,0.053514143219398826,0.07135249325034933,-35.93259338818439,1.1977531129394796,0.0,0.0,-0.01599378356786474,0.001643096522189898,2.064467482999245
B05_A15,steger,h030,H30,30.0,3,1952,1980,50,1.0,1.0,1.0,1318.9590929932892,0.022044542769513124,0.0345621783040578,-35.99173127667268,1.1997243758890894,0.0,,,,
B05_A15,centroid,h030,H30,30.0,4,1953,1979,50,1.0,1.0,1.0,1318.9770992366412,0.05267178483364072,0.07182686611931924,-35.93259338818439,1.1977531129394796,0.0,0.0,-0.01599378356786474,0.001643096522189898,2.0647708364845534
B05_A15,steger,h030,H30,30.0,4,1953,1979,50,1.0,1.0,1.0,1318.9588918872178,0.02092988895295434,0.03478684648685301,-35.99173127667268,1.1997243758890894,0.0,,,,
