weighting,profile_type,t,weak_singular_value,weak_to_strong_ratio,invalid_count,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,rmse_mm,p95_abs_mm,residual_energy,explained_fraction_vs_theta0
point_equal,weak_singular_direction,-3.6,2.35687497705e-05,1.62826960676e-06,0,2.57875030953,-0.00547940437598,-367.750835957,88.60678584,482.386882297,1.56169017486,89.4782559267,0.0367121696622,0.0756879960024,23.6724676605,0.961549478457
point_equal,weak_singular_direction,-3.4,2.35687497705e-05,1.62826960676e-06,0,2.57876943374,-0.00545321788587,-366.156566561,87.938226617,483.365388836,1.56173054951,89.4805692238,0.0362063057292,0.0756086137753,23.0245874356,0.962601812033
point_equal,weak_singular_direction,-3.2,2.35687497705e-05,1.62826960676e-06,0,2.57878855795,-0.00542703139576,-364.562297165,87.2696673941,484.343895375,1.56177092417,89.4828825209,0.0357765906351,0.0756689639413,22.4812953797,0.963484265996
point_equal,weak_singular_direction,-3,2.35687497705e-05,1.62826960676e-06,0,2.57880768217,-0.00540084490566,-362.968027768,86.6011081711,485.322401914,1.56181129882,89.485195818,0.0354162123228,0.0753960796619,22.0306673857,0.964216208337
point_equal,weak_singular_direction,-2.8,2.35687497705e-05,1.62826960676e-06,0,2.57882680638,-0.00537465841555,-361.373758372,85.9325489482,486.300908453,1.56185167347,89.4875091151,0.0351182261152,0.0749457694687,21.6615021434,0.964815833028
point_equal,weak_singular_direction,-2.6,2.35687497705e-05,1.62826960676e-06,0,2.5788459306,-0.00534847192544,-359.779488976,85.2639897252,487.279414992,1.56189204812,89.4898224122,0.0348756788985,0.0746527551685,21.3633211567,0.965300159994
point_equal,weak_singular_direction,-2.4,2.35687497705e-05,1.62826960676e-06,0,2.57886505481,-0.00532228543533,-358.18521958,84.5954305023,488.257921531,1.56193242277,89.4921357093,0.0346817268627,0.0744923927392,21.1263687375,0.965685035126
point_equal,weak_singular_direction,-2.2,2.35687497705e-05,1.62826960676e-06,0,2.57888417902,-0.00529609894522,-356.590950184,83.9268712793,489.23642807,1.56197279742,89.4944490064,0.03452974256,0.0741183986078,20.9416120218,0.965985130248
point_equal,weak_singular_direction,-2,2.35687497705e-05,1.62826960676e-06,0,2.57890330324,-0.00526991245511,-354.996680788,83.2583120563,490.214934609,1.56201317207,89.4967623035,0.0344134084082,0.0735226072315,20.8007409611,0.966213943138
point_equal,weak_singular_direction,-1.8,2.35687497705e-05,1.62826960676e-06,0,2.57892242745,-0.00524372596501,-353.402411392,82.5897528334,491.193441148,1.56205354672,89.4990756006,0.0343267952505,0.0729788835411,20.6961683107,0.966383797545
point_equal,weak_singular_direction,-1.6,2.35687497705e-05,1.62826960676e-06,0,2.57894155167,-0.0052175394749,-351.808141996,81.9211936104,492.171947687,1.56209392137,89.5013888977,0.0342644258452,0.072436940171,20.62102963,0.966505843185
point_equal,weak_singular_direction,-1.4,2.35687497705e-05,1.62826960676e-06,0,2.57896067588,-0.00519135298479,-350.2138726,81.2526343875,493.150454226,1.56213429602,89.5037021948,0.0342213241135,0.0719859712554,20.5691832589,0.966590055783
point_equal,weak_singular_direction,-1.2,2.35687497705e-05,1.62826960676e-06,0,2.5789798001,-0.00516516649468,-348.619603204,80.5840751645,494.128960766,1.56217467067,89.5060154919,0.0341930517227,0.0716821332667,20.5352103032,0.966645237097
point_equal,weak_singular_direction,-1,2.35687497705e-05,1.62826960676e-06,0,2.57899892431,-0.00513898000457,-347.025333807,79.9155159416,495.107467305,1.56221504533,89.508328789,0.0341757339476,0.0714005818112,20.5144146106,0.966679014954
point_equal,weak_singular_direction,-0.8,2.35687497705e-05,1.62826960676e-06,0,2.57901804852,-0.00511279351446,-345.431064411,79.2469567186,496.085973844,1.56225541998,89.5106420861,0.034166076916,0.0712124699597,20.502822739,0.966697843304
point_equal,weak_singular_direction,-0.6,2.35687497705e-05,1.62826960676e-06,0,2.57903717274,-0.00508660702436,-343.836795015,78.5783974957,497.064480383,1.56229579463,89.5129553832,0.0341613783099,0.0710758911649,20.4971839258,0.966707002269
point_equal,weak_singular_direction,-0.4,2.35687497705e-05,1.62826960676e-06,0,2.57905629695,-0.00506042053425,-342.242525619,77.9098382727,498.042986922,1.56233616928,89.5152686803,0.0341595333928,0.0709101187192,20.4949700464,0.966710598211
point_equal,weak_singular_direction,-0.2,2.35687497705e-05,1.62826960676e-06,0,2.57907542117,-0.00503423404414,-340.648256223,77.2412790498,499.021493461,1.56237654393,89.5175819774,0.0341590379745,0.0707925563933,20.4943755706,0.966711563801
point_equal,weak_singular_direction,0,2.35687497705e-05,1.62826960676e-06,0,2.57909454538,-0.00500804755403,-339.053986827,76.5727198268,500,1.56241691858,89.5198952745,0.0341589895888,0.0707731836023,20.4943175108,0.966711658106
frame_equal,weak_singular_direction,-8,2.35251196208e-05,1.62530478878e-06,0,2.57838759568,-0.00613317794356,-402.85054881,104.516463483,460.880717904,1.5607920466,89.4267969677,0.0714937918445,0.124577473217,89.7759669508,0.859052839686
frame_equal,weak_singular_direction,-7.8,2.35251196208e-05,1.62530478878e-06,0,2.57840765026,-0.00610685866122,-401.257489672,103.844395375,461.858699956,1.56083248355,89.4291138345,0.0687629795232,0.121473096604,83.0486929064,0.869614576924
frame_equal,weak_singular_direction,-7.6,2.35251196208e-05,1.62530478878e-06,0,2.57842770484,-0.00608053937888,-399.664430534,103.172327267,462.836682009,1.5608729205,89.4314307012,0.0661338395439,0.118447452603,76.8193986472,0.879394492044
frame_equal,weak_singular_direction,-7.4,2.35251196208e-05,1.62530478878e-06,0,2.57844775943,-0.00605422009654,-398.071371396,102.50025916,463.814664061,1.56091335746,89.4337475679,0.0636076997267,0.115500543638,71.0628807549,0.888432154102
frame_equal,weak_singular_direction,-7.2,2.35251196208e-05,1.62530478878e-06,0,2.57846781401,-0.0060279008142,-396.478312257,101.828191052,464.792646114,1.56095379441,89.4360644347,0.0611858958147,0.112632372129,65.7545900026,0.896766105081
frame_equal,weak_singular_direction,-7,2.35251196208e-05,1.62530478878e-06,0,2.57848786859,-0.00600158153186,-394.885253119,101.156122944,465.770628166,1.56099423136,89.4383813014,0.0588697496718,0.109842940515,60.8706313977,0.904433859824
frame_equal,weak_singular_direction,-6.8,2.35251196208e-05,1.62530478878e-06,0,2.57850792318,-0.00597526224952,-393.292193981,100.484054836,466.748610218,1.56103466832,89.4406981681,0.0566605418761,0.107132251235,56.3877642879,0.91147190587
frame_equal,weak_singular_direction,-6.6,2.35251196208e-05,1.62530478878e-06,0,2.57852797776,-0.00594894296718,-391.699134843,99.8119867287,467.726592271,1.56107510527,89.4430150348,0.0545594780069,0.104500306689,52.2834023518,0.917915703463
